,Original Team,NameASCII,fgId,tjid,type,Years,Dollars,Symbol,Options,dup
0,Bayou Shooters,David Peterson,20302,davidpeterson,aaa option,1,$3 opt,†,,False
1,Bayou Shooters,Gavin Lux,19955,gavinlux,aaa option,1,$3 opt,†,,False
2,Bayou Shooters,Ivan Herrera,20599,ivanherrera,aaa option,1,$3 opt,†,,False
3,Bayou Shooters,Spencer Schwellenbach,31846,spencerschwellenbach,contract,2,$6.25,ᴵᴸ⁶⁰,,False
4,Bayou Shooters,Andres Gimenez,19950,andresgimenez,contract,1,$6.00,,,False
5,Bayou Shooters,Anthony Santander,14551,anthonysantander,contract,1,$5.00,,,False
6,Bayou Shooters,Brady Singer,25377,bradysinger,contract,1,$3.00,,,False
7,Bayou Shooters,James Wood,29518,jameswood,contract,7,$1.00,,,False
8,Bayou Shooters,Gavin Williams,30122,gavinwilliams,pre-arb,2,$1.00,@ᴵᴸ⁶⁰,,False
9,Bayou Shooters,Taj Bradley,22543,tajbradley,pre-arb,2,$1.00,@,,False
10,Bayou Shooters,Xavier Edwards,22266,xavieredwards,contract,2,$1.00,,,False
11,Bayou Shooters,Edwin Diaz,14710,edwindiaz,pre-arb,1,$1.00,@,,False
12,Bayou Shooters,Edwin Diaz,sa738152,edwindiaz1,pre-arb,1,$1.00,@,,True
13,Bayou Shooters,Jackson Merrill,29490,jacksonmerrill,pre-arb,1,$1.00,@,,False
14,Bayou Shooters,Oneil Cruz,21711,oneilcruz,pre-arb,1,$1.00,@,,False
15,Bayou Shooters,MJ Melendez,22197,mjmelendez,Arb 1,Arb 1,40%,¹,,False
16,Bayou Shooters,Andrew Abbott,29911,andrewabbott,aaa option,1,$3 opt,†,,False
17,Bayou Shooters,Michael Lorenzen,14843,michaellorenzen,aaa option,1,$3 opt,†,,False
18,Bayou Shooters,Edward Cabrera,21690,edwardcabrera,pre-arb,2,$1.00,@,,False
19,Bayou Shooters,Logan Allen,18555,loganallen,pre-arb,1,$1.00,@,,False
20,Bayou Shooters,Logan Allen,27589,loganallen1,pre-arb,1,$1.00,@,,True
21,Bayou Shooters,Ryne Nelson,26253,rynenelson,pre-arb,1,$1.00,@,,False
22,Bayou Shooters,Alejandro Rosario,sa3023538,alejandrorosario,aa,U,$-,,3.0,False
23,Bayou Shooters,Braden Montgomery,sa3038253,bradenmontgomery,aa,U,$-,,3.0,False
24,Bayou Shooters,Brady House,29993,bradyhouse,aa,U,$-,,3.0,False
25,Bayou Shooters,Demetrio Crisantes,sa3021051,demetriocrisantes,aa,U,$-,,3.0,False
26,Bayou Shooters,Dustin Harris,25705,dustinharris,aa,U,$-,,3.0,False
27,Bayou Shooters,Dustin May,19716,dustinmay,aa,U,$-,,1.0,False
28,Bayou Shooters,Hurston Waldrep,33527,hurstonwaldrep,aa,U,$-,,3.0,False
29,Bayou Shooters,Josue Briceno,sa3018584,josuebriceno,aa,U,$-,,3.0,False
30,Bayou Shooters,Josue De Paula,sa3018591,josuedepaula,aa,U,$-,,3.0,False
31,Bayou Shooters,Kyle Bradish,24586,kylebradish,aa,U,$-,,3.0,False
32,Bayou Shooters,Liam Doyle,sa3030545,liamdoyle,aa,U,$-,,3.0,False
33,Bayou Shooters,Miguel Bleis,sa3016834,miguelbleis,aa,U,$-,,3.0,False
34,Bayou Shooters,River Ryan,29514,riverryan,aa,U,$-,,3.0,False
35,Bayou Shooters,Ronny Mauricio,23698,ronnymauricio,aa,U,$-,,3.0,False
36,Cheating Raiders,Austin Riley,18360,austinriley,Arb 3,Arb 3,80%,³,,False
37,Cheating Raiders,Dylan Cease,18525,dylancease,Arb 3,Arb 3,80%,³,,False
38,Cheating Raiders,Nathaniel Lowe,19566,nathaniellowe,Arb 3,Arb 3,80%,³,,False
39,Cheating Raiders,Logan Gilbert,22250,logangilbert,Arb 2,Arb 2,60%,²,,False
40,Cheating Raiders,Tarik Skubal,22267,tarikskubal,Arb 2,Arb 2,60%,²,,False
41,Cheating Raiders,Adley Rutschman,26288,adleyrutschman,Arb 1,Arb 1,40%,¹,,False
42,Cheating Raiders,Bobby Witt Jr.,25764,bobbywittjr,Arb 1,Arb 1,40%,¹,,False
43,Cheating Raiders,Clarke Schmidt,19899,clarkeschmidt,Arb 1,Arb 1,40%,¹,,False
44,Cheating Raiders,J.P. Crawford,15491,jpcrawford,aaa option,1,$3 opt,†,,False
45,Cheating Raiders,Manny Machado,11493,mannymachado,contract,1,$7.00,,,False
46,Cheating Raiders,Nick Kurtz,35110,nickkurtz,contract,10,$1.13,,,False
47,Cheating Raiders,Nico Hoerner,21479,nicohoerner,contract,1,$1.00,,,False
48,Cheating Raiders,Tanner Bibee,30134,tannerbibee,pre-arb,1,$1.00,@,,False
49,Cheating Raiders,Jason Adam,11861,jasonadam,aaa option,1,$3 opt,†,,False
50,Cheating Raiders,Javier Baez,12979,javierbaez,aaa option,1,$3 opt,†,,False
51,Cheating Raiders,Michael Conforto,16376,michaelconforto,aaa option,1,$3 opt,†,,False
52,Cheating Raiders,Nolan Gorman,22263,nolangorman,aaa option,1,$3 opt,†,,False
53,Cheating Raiders,Cade Povich,30055,cadepovich,aa,U,$-,,3.0,False
54,Cheating Raiders,Chase Dollander,33482,chasedollander,aa,U,$-,,3.0,False
55,Cheating Raiders,Colson Montgomery,29712,colsonmontgomery,aa,U,$-,,3.0,False
56,Cheating Raiders,Drew Thorpe,31967,drewthorpe,aa,U,$-,,3.0,False
57,Cheating Raiders,Edwin Uceta,20539,edwinuceta,aa,U,$-,,3.0,False
58,Cheating Raiders,Maikel Garcia,22715,maikelgarcia,aa,U,$-,,2.0,False
59,Cheating Raiders,Matt Shaw,33322,mattshaw,aa,U,$-,,3.0,False
60,Cheating Raiders,Thomas Harrington,31989,thomasharrington,aa,U,$-,,3.0,False
61,Cheating Raiders,Tyler Black,29949,tylerblack,aa,U,$-,,3.0,False
62,Cheating Raiders,Vance Honeycutt,sa3025526,vancehoneycutt,aa,U,$-,,3.0,False
63,Country Strong,Brandon Lowe,18882,brandonlowe,Arb 3,Arb 3,80%,³,,False
64,Country Strong,Freddy Peralta,18679,freddyperalta,Arb 3,Arb 3,80%,³,,False
65,Country Strong,Shota Imanaga,33829,shotaimanaga,contract,1,$2.35,,,False
66,Country Strong,Cristopher Sanchez,20778,cristophersanchez,contract,1,$1.50,,,False
67,Country Strong,Jackson Chourio,28806,jacksonchourio,contract,8,$1.10,,,False
68,Country Strong,CJ Abrams,25768,cjabrams,contract,7,$1.00,,,False
69,Country Strong,Jack Leiter,30146,jackleiter,contract,5,$1.00,,,False
70,Country Strong,Yoshinobu Yamamoto,33825,yoshinobuyamamoto,contract,3,$1.00,,,False
71,Country Strong,Felix Bautista,20666,felixbautista,pre-arb,2,$1.00,@,,False
72,Country Strong,Fernando Tatis Jr.,19709,fernandotatisjr,contract,2,$1.00,,,False
73,Country Strong,Lucas Giolito,15474,lucasgiolito,pre-arb,2,$1.00,@,,False
74,Country Strong,Miguel Vargas,20178,miguelvargas,pre-arb,2,$1.00,@,,False
75,Country Strong,Gunnar Henderson,26289,gunnarhenderson,pre-arb,1,$1.00,@,,False
76,Country Strong,Jacob deGrom,10954,jacobdegrom,contract,1,$1.00,,,False
77,Country Strong,Eloy Jimenez,17484,eloyjimenez,cut,1,$1.00,,,False
78,Country Strong,Alejandro Kirk,22581,alejandrokirk,aaa option,1,$3 opt,†,,False
79,Country Strong,Camilo Doval,21992,camilodoval,aaa option,1,$3 opt,†,,False
80,Country Strong,Joe Boyle,29608,joeboyle,aaa option,1,$3 opt,†,,False
81,Country Strong,Josh Smith,26396,joshsmith,aaa option,1,$3 opt,†,,False
82,Country Strong,Zack Littell,15823,zacklittell,aaa option,1,$3 opt,†,,False
83,Country Strong,Mike Trout,10155,miketrout,contract,1,$5.00,,,False
84,Country Strong,Nolan Jones,20529,nolanjones,contract,1,$4.50,,,False
85,Country Strong,Jackson Holliday,31781,jacksonholliday,contract,8,$1.15,,,False
86,Country Strong,Kevin McGonigle,sa3022895,kevinmcgonigle,contract,9,$1.00,,,False
87,Country Strong,Munetaka Murakami,sa3063258,munetakamurakami,contract,5,$1.00,,,False
88,Country Strong,Zebby Matthews,31827,zebbymatthews,contract,4,$1.00,,,False
89,Country Strong,Christian Encarnacion-Strand,30011,christianencarnacionstrand,pre-arb,1,$1.00,@,,False
90,Country Strong,Kyle Harrison,27758,kyleharrison,pre-arb,1,$1.00,@,,False
91,Country Strong,Cristian Javier,17606,cristianjavier,aa,U,$-,,3.0,False
92,Country Strong,Grant Taylor,33927,granttaylor,aa,U,$-,,3.0,False
93,Country Strong,Justin Lebron,sa3036129,justinlebron,aa,U,$-,,3.0,False
94,Country Strong,Kyle Manzardo,29794,kylemanzardo,aa,U,$-,,2.0,False
95,Country Strong,Richard Fitts,30160,richardfitts,aa,U,$-,,2.0,False
96,Country Strong,Sebastian Walcott,sa3021069,sebastianwalcott,aa,U,$-,,3.0,False
97,Country Strong,Shane Baz,22264,shanebaz,aa,U,$-,,1.0,False
98,Detroit Nittany Tide,Hunter Greene,22182,huntergreene,Arb 1,Arb 1,40%,¹,,False
99,Detroit Nittany Tide,MacKenzie Gore,22201,mackenziegore,Arb 1,Arb 1,40%,¹,,False
100,Detroit Nittany Tide,Nick Lodolo,26378,nicklodolo,Arb 1,Arb 1,40%,¹,,False
101,Detroit Nittany Tide,Andrew Vaughn,26197,andrewvaughn,aaa option,1,$3 opt,†,,False
