Original Team,Player,League,Position,Years,Dollars,Symbol,Options
Bayou Shooters,David Peterson,MLB,SP,1,$3 opt,†,
Bayou Shooters,Gavin Lux,MLB,SS,1,$3 opt,†,
Bayou Shooters,Ivan Herrera,MLB,C,1,$3 opt,†,
Bayou Shooters,Spencer Schwellenbach,MLB,SP,2,$6.25,ᴵᴸ⁶⁰,
Bayou Shooters,Andres Gimenez,MLB,2B,1,$6.00,,
Bayou Shooters,Anthony Santander,MLB,OF,1,$5.00,,
Bayou Shooters,Brady Singer,MLB,SP,1,$3.00,,
Bayou Shooters,James Wood,MLB,OF,7,$1.00,,
Bayou Shooters,Gavin Williams,MLB,SP,2,$1.00,@ᴵᴸ⁶⁰,
Bayou Shooters,Taj Bradley,MLB,SP,2,$1.00,@,
Bayou Shooters,Xavier Edwards,MLB,SS,2,$1.00,,
Bayou Shooters,Edwin Diaz,MLB,RP,1,$1.00,@,
Bayou Shooters,Jackson Merrill,MLB,OF,1,$1.00,@,
Bayou Shooters,Oneil Cruz,MLB,SS,1,$1.00,@,
Bayou Shooters,MJ Melendez,AAA,OF,Arb 1,40%,¹,
Bayou Shooters,Andrew Abbott,AAA,SP,1,$3 opt,†,
Bayou Shooters,Michael Lorenzen,AAA,SP,1,$3 opt,†,
Bayou Shooters,Edward Cabrera,AAA,SP,2,$1.00,@,
Bayou Shooters,Logan Allen,AAA,SP,1,$1.00,@,
Bayou Shooters,Ryne Nelson,AAA,SP,1,$1.00,@,
Bayou Shooters,Alejandro Rosario,AA,SP,U,$-,,3
Bayou Shooters,Braden Montgomery,AA,OF,U,$-,,3
Bayou Shooters,Brady House,AA,3B,U,$-,,3
Bayou Shooters,Demetrio Crisantes,AA,2B,U,$-,,3
Bayou Shooters,Dustin Harris,AA,1B,U,$-,,3
Bayou Shooters,Dustin May,AA,SP,U,$-,,1
Bayou Shooters,Hurston Waldrep,AA,SP,U,$-,,3
Bayou Shooters,Josue Briceno,AA,C,U,$-,,3
Bayou Shooters,Josue De Paula,AA,OF,U,$-,,3
Bayou Shooters,Kyle Bradish,AA,SP,U,$-,,3
Bayou Shooters,Liam Doyle,AA,SP,U,$-,,3
Bayou Shooters,Miguel Bleis,AA,OF,U,$-,,3
Bayou Shooters,River Ryan,AA,SP,U,$-,,3
Bayou Shooters,Ronny Mauricio,AA,SS,U,$-,,3
Cheating Raiders,Austin Riley,MLB,3B,Arb 3,80%,³,
Cheating Raiders,Dylan Cease,MLB,SP,Arb 3,80%,³,
Cheating Raiders,Nathaniel Lowe,MLB,1B,Arb 3,80%,³,
Cheating Raiders,Logan Gilbert,MLB,SP,Arb 2,60%,²,
Cheating Raiders,Tarik Skubal,MLB,SP,Arb 2,60%,²,
Cheating Raiders,Adley Rutschman,MLB,C,Arb 1,40%,¹,
Cheating Raiders,Bobby Witt Jr.,MLB,SS,Arb 1,40%,¹,
Cheating Raiders,Clarke Schmidt,MLB,SP,Arb 1,40%,¹,
Cheating Raiders,J.P. Crawford,MLB,SS,1,$3 opt,†,
Cheating Raiders,Manny Machado,MLB,3B,1,$7.00,,
Cheating Raiders,Nick Kurtz,MLB,1B,10,$1.13,,
Cheating Raiders,Nico Hoerner,MLB,2B,1,$1.00,,
Cheating Raiders,Tanner Bibee,MLB,SP,1,$1.00,@,
Cheating Raiders,Jason Adam,AAA,RP,1,$3 opt,†,
Cheating Raiders,Javier Baez,AAA,SS,1,$3 opt,†,
Cheating Raiders,Michael Conforto,AAA,OF,1,$3 opt,†,
Cheating Raiders,Nolan Gorman,AAA,2B,1,$3 opt,†,
Cheating Raiders,Cade Povich,AA,SP,U,$-,,3
Cheating Raiders,Chase Dollander,AA,SP,U,$-,,3
Cheating Raiders,Colson Montgomery,AA,SS,U,$-,,3
Cheating Raiders,Drew Thorpe,AA,SP,U,$-,,3
Cheating Raiders,Edwin Uceta,AA,RP,U,$-,,3
Cheating Raiders,Maikel Garcia,AA,3B,U,$-,,2
Cheating Raiders,Matt Shaw,AA,3B,U,$-,,3
Cheating Raiders,Thomas Harrington,AA,SP,U,$-,,3
Cheating Raiders,Tyler Black,AA,3B,U,$-,,3
Cheating Raiders,Vance Honeycutt,AA,OF,U,$-,,3
Country Strong,Brandon Lowe,MLB,2B,Arb 3,80%,³,
Country Strong,Freddy Peralta,MLB,SP,Arb 3,80%,³,
Country Strong,Shota Imanaga,MLB,SP,1,$2.35,,
Country Strong,Cristopher Sanchez,MLB,SP,1,$1.50,,
Country Strong,Jackson Chourio,MLB,OF,8,$1.10,,
Country Strong,CJ Abrams,MLB,SS,7,$1.00,,
Country Strong,Jack Leiter,MLB,SP,5,$1.00,,
Country Strong,Yoshinobu Yamamoto,MLB,SP,3,$1.00,,
Country Strong,Felix Bautista,MLB,RP,2,$1.00,@,
Country Strong,Fernando Tatis Jr.,MLB,OF,2,$1.00,,
Country Strong,Lucas Giolito,MLB,SP,2,$1.00,@,
Country Strong,Miguel Vargas,MLB,2B,2,$1.00,@,
Country Strong,Gunnar Henderson,MLB,SS,1,$1.00,@,
Country Strong,Jacob deGrom,MLB,SP,1,$1.00,,
Country Strong,Eloy Jimenez ©,Cut,OF,1,$1.00,,
Country Strong,Alejandro Kirk,AAA,C,1,$3 opt,†,
Country Strong,Camilo Doval,AAA,RP,1,$3 opt,†,
Country Strong,Joe Boyle,AAA,SP,1,$3 opt,†,
Country Strong,Josh Smith,AAA,3B,1,$3 opt,†,
Country Strong,Zack Littell,AAA,SP,1,$3 opt,†,
Country Strong,Mike Trout,AAA,OF,1,$5.00,,
Country Strong,Nolan Jones,MLB,OF,1,$4.50,,
Country Strong,Jackson Holliday,MLB,2B,8,$1.15,,
