Name,NameASCII,fgId,MLBAMID,espnId
Aidan Smith,Aidan Smith,sa3022611,806223,5149092
Andrew Walters,Andrew Walters,33834,689958,5236382
Bryce Johnson,Bryce Johnson,20002,669369,42056
Caleb Freeman,Caleb Freeman,26255,673965,4085111
Carlos Rodriguez,Carlos Rodriguez,30161,692230,5123999
Carson Kelly,Carson Kelly,13620,608348,32797
Chase Davis,Chase Davis,sa3022426,690971,4683374
Connor Kaiser,Connor Kaiser,21535,663731,42950
Diego Castillo,Diego Castillo,17496,650895,39103
Diego Castillo,Diego Castillo,19906,660636,40494
Drew Smith,Drew Smith,17755,622098,39685
Dylan Smith,Dylan Smith,30145,681916,4414123
Fernando Cruz,Fernando Cruz,7048,518585,34068
Fernando Cruz,Fernando Cruz,sa3024303,815890,5196126
Ian Anderson,Ian Anderson,19951,666120,40916
Jack Little,Jack Little,26152,669193,4152948
Jack López,Jack Lopez,13663,605346,33518
Jacob Wilson,Jacob Wilson,33266,805779,4719300
Jake Meyers,Jake Meyers,20308,676694,40719
Jared Jones,Jared Jones,27863,683003,4918156
Jeff Hoffman,Jeff Hoffman,17432,656546,33841
José Devers,Jose Devers,20540,672701,39834
José Fermín,Jose Fermin,21746,665877,38851
José Fermin,Jose Fermin,33908,820862,5265417
Josh Bell,Josh Bell,13145,605137,32517
Kyle Gibson,Kyle Gibson,10123,502043,31053
Logan Allen,Logan Allen,27589,671106,4683350
Luis García,Luis Garcia,6984,472610,33089
Luis Garcia,Luis Garcia,23735,677651,4684365
Luis Ortiz,Luis Ortiz,27646,682847,5101355
Luke Jackson,Luke Jackson,11752,592426,31749
Matt Barnes,Matt Barnes,12863,598264,32147
Max Muncy,Max Muncy,13301,571970,33303
Max Muncy,Max Muncy,29779,691777,4872686
Michael Massey,Michael Massey,27684,686681,4109223
Nick Allen,Nick Allen,22277,669397,40338
Owen Miller,Owen Miller,24655,680911,41187
Pedro León,Pedro Leon,27781,694175,4717898
Ryan Johnson,Ryan Johnson,35325,696270,5007859
Ryan Miller,Ryan Miller,22187,668943,5135498
Ryan Thompson,Ryan Thompson,16647,657044,38628
Sam Hentges,Sam Hentges,18548,656529,41225
Tyler O'Neill,Tyler O'Neill,15711,641933,34168
Will Smith,Will Smith,8048,519293,31549
Will Smith,Will Smith,19197,669257,38309
Wilmer Flores,Wilmer Flores,5827,527038,30627
Yunior Marte,Yunior Marte,14416,628708,40419
Zack Thompson,Zack Thompson,25918,668868,42485
Billy Carlson,Billy Carlson,sa3069250,815814,5293142
Julio Rodríguez,Julio Rodriguez,23697,677594,41044
Edwin Díaz,Edwin Diaz,14710,621242,35394
Jacob Webb,Jacob Webb,19274,657097,40384
