fullName,espnId,fgId
Jose Ferrer,5119607,24017
P.J. Poulin,4019760,23394
Zachary Maxwell,5195258,31610
Dominic Hamel,4742103,30153
Elmer Cruz-Rodriguez,5194637,sa3019459
Jackson Wolf,5007623,29832
Robinson Ortiz,41300,sa3004006
Alejandro Carrillo,5270370,26463
Daison Acosta,5131747,sa944989
Kervin Castro,4717832,21656
James Karinchak,40715,20151
Domingo Gonzalez,5132247,sa3007495
Peyton Alford,4669438,sa3016843
CJ Kayfus,4719337,33704
Beau Burrows,35046,18873
Kyle Wright,39652,19665
Cayden Wallace,4721026,sa3019996
Junior Perez,42471,sa3005744
Rafael Lantigua,41955,sa3003219
Daniel Espino,42438,sa3011495
