contract_id,tj_id,team_id,contract_type,contract_years,contract_dollars,aa_options,aaa_options,arb_rate
25_con_1,jesusmade,20,contract,12,1.0,,False,
25_con_2,nickkurtz,1,contract,10,1.13,,False,
25_con_3,coltemerson,6,contract,10,1.0,,False,
25_con_4,andrewpainter,20,contract,10,1.05,,False,
25_con_5,kevinmcgonigle,10,contract,9,1.0,,False,
25_con_6,jacksonchourio,10,contract,8,1.1,,False,
25_con_7,druwjones,4,contract,8,1.0,,False,
25_con_8,jacksonholliday,10,contract,8,1.15,,False,
25_con_9,jassondominguez,9,contract,8,2.0,,False,
25_con_10,jjwetherholt,2,contract,8,1.0,,False,
25_con_11,zacveen,4,contract,7,1.0,,False,
25_con_12,marcelomayer,2,contract,7,1.0,,False,
25_con_13,jameswood,3,contract,7,1.0,,False,
25_con_14,kristiancampbell,4,contract,7,1.55,,False,
25_con_15,cjabrams,10,contract,7,1.0,,False,
25_con_16,spencertorkelson,5,contract,6,1.5,,False,
25_con_17,anthonyvolpe,2,contract,6,2.5,,False,
25_con_18,jackleiter,10,contract,5,1.0,,False,
25_con_19,brandonsproat,6,contract,5,1.0,,False,
25_con_20,munetakamurakami,10,contract,5,1.0,,False,
25_con_21,zebbymatthews,10,contract,4,1.0,,False,
25_con_22,kumarrocker,4,contract,4,1.85,,False,
25_con_23,aaronashby,20,contract,3,1.25,,False,
25_con_24,shanebieber,4,contract,3,1.0,,False,
25_con_25,maxmeyer,20,contract,3,1.7,,False,
25_con_26,caseymize,4,contract,3,1.0,,False,
25_con_27,ronaldacunajr,4,contract,3,11.75,,False,
25_con_28,yoshinobuyamamoto,10,contract,3,1.0,,False,
25_con_29,lawrencebutler,4,contract,3,4.3,,False,
25_con_30,ezequieltovar,6,contract,3,1.05,,False,
25_con_31,seiyasuzuki,5,contract,2,6.0,,False,
25_con_32,spencerarrighetti,6,contract,2,3.4,,False,
25_con_33,xavieredwards,3,contract,2,1.0,,False,
25_con_34,spencerschwellenbach,3,contract,2,6.25,,False,
25_con_35,fernandotatisjr,10,contract,2,1.0,,False,
25_con_36,tylormegill,7,contract,2,1.5,,False,
25_con_37,jesusluzardo,2,contract,2,2.0,,False,
25_con_38,ryanweathers,9,contract,2,1.29,,False,
25_con_39,bowdenfrancis,19,contract,2,1.1,,False,
25_con_40,sandyalcantara,20,contract,2,1.05,,False,
25_con_41,nolanjones,10,contract,1,4.5,,False,
25_con_42,miketrout,10,contract,1,5.0,,False,
25_con_43,shotaimanaga,10,contract,1,2.35,,False,
25_con_44,nicohoerner,1,contract,1,1.0,,False,
25_con_45,mannymachado,1,contract,1,7.0,,False,
25_con_46,anthonysantander,3,contract,1,5.0,,False,
25_con_47,bradysinger,3,contract,1,3.0,,False,
25_con_48,andresgimenez,3,contract,1,6.0,,False,
25_con_49,jacobdegrom,10,contract,1,1.0,,False,
