pick_id,year,round,order,picking_team_id,picking_team_abbr,original_team_id,original_team_abbr,traded_team_id,traded_team_abbr
2026_mj_1,2026,1,1,19,mj,19,mj,,
2026_orl_1,2026,1,2,7,sz,6,orl,7,sz
2026_wcs_1,2026,1,3,20,wcs,20,wcs,,
2026_sf_1,2026,1,4,2,sf,2,sf,,
2026_rw_1,2026,1,5,20,wcs,4,rw,20,wcs
2026_bs_1,2026,1,6,3,bs,3,bs,,
2026_det_1,2026,1,7,5,det,5,det,,
2026_sz_1,2026,1,8,7,sz,7,sz,,
2026_cs_1,2026,1,9,6,orl,10,cs,6,orl
2026_yb_1,2026,1,10,7,sz,9,yb,7,sz
2026_cr_1,2026,1,11,1,cr,1,cr,,
2026_dct_1,2026,1,12,7,sz,8,dct,7,sz
2026_mj_2,2026,2,1,10,cs,19,mj,10,cs
2026_orl_2,2026,2,2,8,dct,6,orl,8,dct
2026_wcs_2,2026,2,3,20,wcs,20,wcs,,
2026_sf_2,2026,2,4,2,sf,2,sf,,
2026_rw_2,2026,2,5,7,sz,4,rw,7,sz
2026_bs_2,2026,2,6,1,cr,3,bs,1,cr
2026_det_2,2026,2,7,5,det,5,det,,
2026_sz_2,2026,2,8,8,dct,7,sz,8,dct
2026_cs_2,2026,2,9,20,wcs,10,cs,20,wcs
2026_yb_2,2026,2,10,9,yb,9,yb,,
2026_cr_2,2026,2,11,9,yb,1,cr,9,yb
2026_dct_2,2026,2,12,8,dct,8,dct,,
2026_mj_3,2026,3,1,19,mj,19,mj,,
2026_orl_3,2026,3,2,5,det,6,orl,5,det
2026_wcs_3,2026,3,3,9,yb,20,wcs,9,yb
2026_sf_3,2026,3,4,6,orl,2,sf,6,orl
2026_rw_3,2026,3,5,4,rw,4,rw,,
2026_bs_3,2026,3,6,3,bs,3,bs,,
2026_det_3,2026,3,7,5,det,5,det,,
2026_sz_3,2026,3,8,3,bs,7,sz,3,bs
2026_cs_3,2026,3,9,2,sf,10,cs,2,sf
2026_yb_3,2026,3,10,9,yb,9,yb,,
2026_cr_3,2026,3,11,1,cr,1,cr,,
2026_dct_3,2026,3,12,8,dct,8,dct,,
2026_mj_4,2026,4,1,19,mj,19,mj,,
2026_orl_4,2026,4,2,6,orl,6,orl,,
2026_wcs_4,2026,4,3,20,wcs,20,wcs,,
2026_sf_4,2026,4,4,2,sf,2,sf,,
2026_rw_4,2026,4,5,10,cs,4,rw,10,cs
2026_bs_4,2026,4,6,3,bs,3,bs,,
2026_det_4,2026,4,7,5,det,5,det,,
2026_sz_4,2026,4,8,7,sz,7,sz,,
2026_cs_4,2026,4,9,20,wcs,10,cs,20,wcs
2026_yb_4,2026,4,10,3,bs,9,yb,3,bs
2026_cr_4,2026,4,11,1,cr,1,cr,,
2026_dct_4,2026,4,12,8,dct,8,dct,,
2026_mj_5,2026,5,1,19,mj,19,mj,,
2026_orl_5,2026,5,2,6,orl,6,orl,,
2026_wcs_5,2026,5,3,20,wcs,20,wcs,,
2026_sf_5,2026,5,4,2,sf,2,sf,,
2026_rw_5,2026,5,5,4,rw,4,rw,,
2026_bs_5,2026,5,6,3,bs,3,bs,,
2026_det_5,2026,5,7,5,det,5,det,,
2026_sz_5,2026,5,8,7,sz,7,sz,,
2026_cs_5,2026,5,9,10,cs,10,cs,,
2026_yb_5,2026,5,10,9,yb,9,yb,,
2026_cr_5,2026,5,11,2,sf,1,cr,2,sf
2026_dct_5,2026,5,12,8,dct,8,dct,,
2026_mj_6,2026,6,1,19,mj,19,mj,,
2026_orl_6,2026,6,2,6,orl,6,orl,,
2026_wcs_6,2026,6,3,20,wcs,20,wcs,,
2026_sf_6,2026,6,4,2,sf,2,sf,,
2026_rw_6,2026,6,5,4,rw,4,rw,,
2026_bs_6,2026,6,6,3,bs,3,bs,,
2026_det_6,2026,6,7,5,det,5,det,,
2026_sz_6,2026,6,8,7,sz,7,sz,,
2026_cs_6,2026,6,9,10,cs,10,cs,,
2026_yb_6,2026,6,10,9,yb,9,yb,,
2026_cr_6,2026,6,11,1,cr,1,cr,,
2026_dct_6,2026,6,12,8,dct,8,dct,,
2026_mj_7,2026,7,1,19,mj,19,mj,,
2026_orl_7,2026,7,2,6,orl,6,orl,,
2026_wcs_7,2026,7,3,20,wcs,20,wcs,,
2026_sf_7,2026,7,4,2,sf,2,sf,,
2026_rw_7,2026,7,5,4,rw,4,rw,,
2026_bs_7,2026,7,6,3,bs,3,bs,,
2026_det_7,2026,7,7,5,det,5,det,,
2026_sz_7,2026,7,8,7,sz,7,sz,,
2026_cs_7,2026,7,9,10,cs,10,cs,,
2026_yb_7,2026,7,10,9,yb,9,yb,,
2026_cr_7,2026,7,11,1,cr,1,cr,,
2026_dct_7,2026,7,12,8,dct,8,dct,,
2026_mj_8,2026,8,1,19,mj,19,mj,,
2026_orl_8,2026,8,2,6,orl,6,orl,,
2026_wcs_8,2026,8,3,20,wcs,20,wcs,,
2026_sf_8,2026,8,4,2,sf,2,sf,,
2026_rw_8,2026,8,5,4,rw,4,rw,,
2026_bs_8,2026,8,6,3,bs,3,bs,,
2026_det_8,2026,8,7,5,det,5,det,,
2026_sz_8,2026,8,8,7,sz,7,sz,,
2026_cs_8,2026,8,9,10,cs,10,cs,,
2026_yb_8,2026,8,10,9,yb,9,yb,,
2026_cr_8,2026,8,11,1,cr,1,cr,,
2026_dct_8,2026,8,12,8,dct,8,dct,,
2026_mj_9,2026,9,1,19,mj,19,mj,,
2026_orl_9,2026,9,2,6,orl,6,orl,,
2026_wcs_9,2026,9,3,20,wcs,20,wcs,,
2026_sf_9,2026,9,4,2,sf,2,sf,,
2026_rw_9,2026,9,5,4,rw,4,rw,,
2026_bs_9,2026,9,6,3,bs,3,bs,,
2026_det_9,2026,9,7,5,det,5,det,,
2026_sz_9,2026,9,8,7,sz,7,sz,,
2026_cs_9,2026,9,9,10,cs,10,cs,,
2026_yb_9,2026,9,10,9,yb,9,yb,,
2026_cr_9,2026,9,11,1,cr,1,cr,,
2026_dct_9,2026,9,12,8,dct,8,dct,,
2026_mj_10,2026,10,1,19,mj,19,mj,,
2026_orl_10,2026,10,2,6,orl,6,orl,,
2026_wcs_10,2026,10,3,20,wcs,20,wcs,,
2026_sf_10,2026,10,4,2,sf,2,sf,,
2026_rw_10,2026,10,5,4,rw,4,rw,,
2026_bs_10,2026,10,6,3,bs,3,bs,,
2026_det_10,2026,10,7,5,det,5,det,,
2026_sz_10,2026,10,8,7,sz,7,sz,,
