tj_id,c,1b,2b,ss,3b,of,util,sp,rp
shoheiohtani,False,False,False,False,False,False,True,True,False
aaronjudge,False,False,False,False,False,True,True,False,False
juansoto,False,False,False,False,False,True,True,False,False
paulskenes,False,False,False,False,False,False,False,True,False
joseramirez,False,False,False,False,True,False,True,False,False
tarikskubal,False,False,False,False,False,False,False,True,False
garrettcrochet,False,False,False,False,False,False,False,True,False
bobbywittjr,False,False,False,True,False,False,True,False,False
kyletucker,False,False,False,False,False,True,True,False,False
calraleigh,True,False,False,False,False,False,True,False,False
corbincarroll,False,False,False,False,False,True,True,False,False
yoshinobuyamamoto,False,False,False,False,False,False,False,True,False
logangilbert,False,False,False,False,False,False,False,True,False
kyleschwarber,False,False,False,False,False,False,True,False,False
loganwebb,False,False,False,False,False,False,False,True,False
bryanwoo,False,False,False,False,False,False,False,True,False
maxfried,False,False,False,False,False,False,False,True,False
fernandotatisjr,False,False,False,False,False,True,True,False,False
juliorodriguez,False,False,False,False,False,True,True,False,False
juniorcaminero,False,False,False,False,True,False,True,False,False
freddyperalta,False,False,False,False,False,False,False,True,False
hunterbrown,False,False,False,False,False,False,False,True,False
ketelmarte,False,False,True,False,False,False,True,False,False
cristophersanchez,False,False,False,False,False,False,False,True,False
franciscolindor,False,False,False,True,False,False,True,False,False
chrissale,False,False,False,False,False,False,False,True,False
mannymachado,False,False,False,False,True,False,True,False,False
ronaldacunajr,False,False,False,False,False,True,True,False,False
yordanalvarez,False,False,False,False,False,True,True,False,False
gunnarhenderson,False,False,False,True,False,False,True,False,False
alexbregman,False,False,False,False,True,False,True,False,False
huntergreene,False,False,False,False,False,False,False,True,False
vladimirguerrerojr,False,True,False,False,False,False,True,False,False
masonmiller,False,False,False,False,False,False,False,False,True
dylancease,False,False,False,False,False,False,False,True,False
edwindiaz,False,False,False,False,False,False,False,False,True
brentrooker,False,False,False,False,False,True,True,False,False
joeryan,False,False,False,False,False,False,False,True,False
frambervaldez,False,False,False,False,False,False,False,True,False
williamcontreras,True,False,False,False,False,False,True,False,False
andresmunoz,False,False,False,False,False,False,False,False,True
nickpivetta,False,False,False,False,False,False,False,True,False
nicohoerner,False,False,True,False,False,False,True,False,False
codybellinger,False,False,False,False,False,True,True,False,False
cadesmith,False,False,False,False,False,False,False,False,True
coleragans,False,False,False,False,False,False,False,True,False
jacksonchourio,False,False,False,False,False,True,True,False,False
georgekirby,False,False,False,False,False,False,False,True,False
mookiebetts,False,False,False,True,False,False,True,False,False
joshhader,False,False,False,False,False,False,False,False,True
jarrenduran,False,False,False,False,False,True,True,False,False
blakesnell,False,False,False,False,False,False,False,True,False
jhoanduran,False,False,False,False,False,False,False,False,True
kevingausman,False,False,False,False,False,False,False,True,False
jacksonmerrill,False,False,False,False,False,True,True,False,False
devinwilliams,False,False,False,False,False,False,False,False,True
austinriley,False,False,False,False,True,False,True,False,False
jacobdegrom,False,False,False,False,False,False,False,True,False
ellydelacruz,False,False,False,True,False,False,True,False,False
sonnygray,False,False,False,False,False,False,False,True,False
josealtuve,False,False,True,False,False,True,True,False,False
zackwheeler,False,False,False,False,False,False,False,True,False
aroldischapman,False,False,False,False,False,False,False,False,True
georgespringer,False,False,False,False,False,True,True,False,False
spencerschwellenbach,False,False,False,False,False,False,False,True,False
