tj_id,player_mlb_org,player_pos,player_age,player_jersey
shoheiohtani,LAD,DH,31,17
aaronjudge,NYY,OF,34,99
juansoto,NYM,OF,27,22
paulskenes,PIT,SP,24,30
joseramirez,CLE,3B,33,11
tarikskubal,DET,SP,29,29
garrettcrochet,BOS,SP,27,35
bobbywittjr,KCR,SS,26,7
kyletucker,LAD,OF,29,23
calraleigh,SEA,C,29,29
corbincarroll,ARI,OF,25,7
yoshinobuyamamoto,LAD,SP,27,18
logangilbert,SEA,SP,29,36
kyleschwarber,PHI,DH,33,12
loganwebb,SFG,SP,29,62
bryanwoo,SEA,SP,26,22
maxfried,NYY,SP,32,54
fernandotatisjr,SDP,OF,27,23
juliorodriguez,SEA,OF,25,44
juniorcaminero,TBR,3B,22,13
freddyperalta,NYM,SP,30,51
hunterbrown,HOU,SP,27,58
ketelmarte,ARI,2B,32,4
cristophersanchez,PHI,SP,29,61
franciscolindor,NYM,SS,32,12
chrissale,ATL,SP,37,51
mannymachado,SDP,3B,33,13
ronaldacunajr,ATL,OF,28,13
yordanalvarez,HOU,DH,29,44
gunnarhenderson,BAL,SS,25,2
alexbregman,CHC,3B,32,3
huntergreene,CIN,SP,26,21
vladimirguerrerojr,TOR,1B,27,27
masonmiller,SDP,RP,27,22
dylancease,TOR,SP,30,84
edwindiaz,LAD,RP,32,3
brentrooker,ATH,DH,31,25
joeryan,MIN,SP,30,41
frambervaldez,FA,SP,32,59
williamcontreras,MIL,C,28,24
andresmunoz,SEA,RP,27,75
nickpivetta,SDP,SP,33,27
nicohoerner,CHC,2B,29,2
codybellinger,NYY,OF,30,35
cadesmith,CLE,RP,27,36
coleragans,KCR,SP,28,55
jacksonchourio,MIL,OF,22,11
georgekirby,SEA,SP,28,68
mookiebetts,LAD,SS,33,50
joshhader,HOU,RP,32,71
jarrenduran,BOS,OF,29,16
blakesnell,LAD,SP,33,7
jhoanduran,PHI,RP,28,59
kevingausman,TOR,SP,35,34
jacksonmerrill,SDP,OF,23,3
devinwilliams,NYM,RP,31,38
austinriley,ATL,3B,29,27
jacobdegrom,TEX,SP,38,48
ellydelacruz,CIN,SS,24,44
sonnygray,BOS,SP,36,54
josealtuve,HOU,2B,36,27
zackwheeler,PHI,SP,36,45
aroldischapman,BOS,RP,38,44
georgespringer,TOR,DH,36,4
spencerschwellenbach,ATL,SP,26,56
mattolson,ATL,1B,32,28
jazzchisholmjr,NYY,2B,28,13
benrice,NYY,1B,27,22
davidbednar,NYY,RP,31,53
petecrowarmstrong,CHC,OF,24,4
raiseliglesias,ATL,RP,36,26
jesusluzardo,PHI,SP,28,44
stevenkwan,CLE,OF,28,38
wyattlangford,TEX,OF,24,36
