tj_id,fp_atc,fp_alt,alt-atc,fp_avg,fp_e,atc-e,total_25
shoheiohtani,1019.9965199999999,1083.17852,63.18200000000013,1051.58752,1207.0,-187.00348000000008,906.5
aaronjudge,687.78222,695.5330580000001,7.750838000000044,691.657639,776.0,-88.21777999999995,778.0
juansoto,664.6596769999999,648.990736,-15.668940999999904,656.8252064999999,721.0,-56.340323000000126,734.0
tarikskubal,600.87369,658.5,57.62630999999999,629.686845,671.0,-70.12630999999999,629.2
bobbywittjr,617.4611400000001,638.9069199999999,21.445779999999786,628.18403,672.0,-54.538859999999886,632.0
corbincarroll,609.9329,603.41797,-6.514930000000049,606.675435,622.0,-12.067099999999982,634.0
paulskenes,559.327035,625.5,66.17296499999998,592.4135175,615.0,-55.67296499999998,563.3
joseramirez,596.0797200000001,582.62679,-13.452930000000038,589.353255,647.0,-50.920279999999934,648.0
kyleschwarber,588.4025300000001,586.6355080000001,-1.7670219999999972,587.5190190000001,652.0,-63.59746999999993,722.0
garrettcrochet,549.30331,612.5,63.19668999999999,580.901655,642.5,-93.19668999999999,684.7
ronaldacunajr,575.8637600000001,582.79905,6.935289999999895,579.331405,603.0,-27.13623999999993,383.0
fernandotatisjr,572.35662,579.0365400000001,6.679920000000038,575.69658,595.0,-22.64337999999998,606.0
vladimirguerrerojr,566.852096,583.1779300000001,16.3258340000001,575.015013,576.0,-9.14790400000004,554.0
edwindiaz,585.738,557.0,-28.738000000000056,571.369,583.5,2.2380000000000564,525.7
kyletucker,579.0163600000001,562.41743,-16.59893000000011,570.716895,589.0,-9.983639999999923,537.0
juliorodriguez,572.91777,567.6832499999999,-5.234520000000089,570.30051,604.0,-31.08222999999998,626.0
gunnarhenderson,570.8386399999999,550.67084,-20.167799999999943,560.75474,589.0,-18.16136000000006,535.0
ellydelacruz,568.33852,546.53846,-21.80006000000003,557.43849,630.0,-61.66147999999998,608.0
franciscolindor,559.7333,543.1243700000001,-16.608929999999873,551.428835,589.0,-29.266700000000014,646.0
calraleigh,548.795885,541.0896829999999,-7.706202000000076,544.942784,627.0,-78.204115,720.0
bryanwoo,515.39571,573.5,58.10428999999999,544.447855,500.5,14.895710000000008,571.8
brentrooker,540.33007,548.0947180000001,7.764648000000079,544.212394,562.0,-21.669930000000022,563.0
petealonso,536.8976399999999,539.5797,2.6820600000000923,538.23867,568.0,-31.10236000000009,618.0
masonmiller,539.1141,535.0,-4.114100000000008,537.05705,602.5,-63.38589999999999,410.8
juniorcaminero,540.9116919999999,531.5449209999999,-9.366770999999972,536.2283064999999,554.0,-13.088308000000097,583.0
cristophersanchez,495.43877,576.0,80.56123000000002,535.719385,568.5,-73.06123000000002,584.5
loganwebb,517.46431,553.0,35.535690000000045,535.2321549999999,545.0,-27.535690000000045,583.0
ketelmarte,529.53017,538.1147500000001,8.584580000000074,533.8224600000001,522.0,7.530169999999998,488.0
rafaeldevers,533.73881,531.437495,-2.3013149999999314,532.5881525,559.0,-25.261190000000056,619.0
bryceharper,519.45474,522.73881,3.2840699999999288,521.096775,522.0,-2.5452599999999848,491.0
cadesmith,530.862655,510.0,-20.862655000000018,520.4313275,635.0,-104.13734499999998,428.3
jacksonchourio,526.0016300000001,514.38502,-11.616610000000037,520.1933250000001,555.0,-28.99836999999991,495.0
zachneto,521.64425,516.83155,-4.8127000000000635,519.2379000000001,534.0,-12.355749999999944,481.0
nickkurtz,529.67467,505.1191,-24.55556999999999,517.396885,608.0,-78.32533000000001,505.0
huntergreene,467.14223000000004,566.5,99.35776999999996,516.821115,459.0,8.14223000000004,337.8
jhoanduran,536.7059700000001,496.5,-40.20597000000009,516.602985,562.5,-25.794029999999907,554.0
wyattlangford,516.3533900000001,513.97532,-2.3780700000000934,515.1643550000001,514.0,2.353390000000104,470.0
jameswood,517.55817,511.55602999999996,-6.002140000000054,514.5571,566.0,-48.44182999999998,583.0
mattolson,528.7325639999999,497.725208,-31.007355999999902,513.228886,595.0,-66.26743600000009,592.0
joshhader,514.34754,503.5,-10.84753999999998,508.92377,523.5,-9.15246000000002,485.8
jazzchisholmjr,514.32935,502.60111,-11.728239999999971,508.46523,526.0,-11.670650000000023,503.0
willyadames,504.20880999999997,512.5903,8.381489999999985,508.39955499999996,521.0,-16.79119000000003,539.0
randyarozarena,502.23645999999997,512.32463,10.088169999999991,507.28054499999996,568.0,-65.76354000000003,585.0
petecrowarmstrong,509.93766999999997,502.16706999999997,-7.770600000000002,506.05237,554.0,-44.06233000000003,578.0
treaturner,510.37319,500.88048000000003,-9.492709999999988,505.626835,540.0,-29.626809999999978,552.0
dylancease,476.550975,533.0,56.449025000000006,504.7754875,467.0,9.550974999999994,432.0
