team_id,abbrev,name,level
1,CR,The Cheating Raiders,majors
2,SF,Structure Fire,majors
3,BS,Bayou Shooters,majors
4,RW,Ryno World,majors
5,DET,Detroit Nittany Tide,majors
6,ORl,Orlando Renegades,majors
7,SZ,Springfield Zephyrs,majors
8,DCT,Dip City Thunder,majors
9,YB,Young Bucks,majors
10,CS,Country Strong,majors
12,TJB,The Jeff Brothers,minors
14,TDB,The Driscoll Brothers,minors
15,CTC,Carlos to Carlos,minors
16,HH,Halladay Holliday,minors
17,CW,Crimson Water,minors
18,#BS,# BuckStrong,minors
19,MJ,Midtown Jaguars,majors
20,WCS,West Coast Spartans,majors
