,name,name_ascii,fg_id,mlb_id,espn_id,tj_id
0,Luis Ortiz,Luis Ortiz,16942,656814,2966,luisortiz
1,Rich Hill,Rich Hill,4806,448179,6321,richhill
2,Justin Verlander,Justin Verlander,8700,434378,6341,justinverlander
3,Andrew McCutchen,Andrew McCutchen,9847,457705,28701,andrewmccutchen
4,Johnny Cueto,Johnny Cueto,6893,456501,28955,johnnycueto
5,Clayton Kershaw,Clayton Kershaw,2036,477132,28963,claytonkershaw
6,Carlos Carrasco,Carlos Carrasco,6632,471911,28968,carloscarrasco
7,Max Scherzer,Max Scherzer,3137,453286,28976,maxscherzer
8,Charlie Morton,Charlie Morton,4676,450203,29155,charliemorton
9,David Robertson,David Robertson,8241,502085,29172,davidrobertson
10,Jesse Chavez,Jesse Chavez,5448,445926,29220,jessechavez
11,Jason Heyward,Jason Heyward,4940,518792,29551,jasonheyward
12,Justin Turner,Justin Turner,5235,457759,29607,justinturner
13,Kenley Jansen,Kenley Jansen,3096,445276,29630,kenleyjansen
14,Donovan Solano,Donovan Solano,8623,456781,29703,donovansolano
15,Adam Ottavino,Adam Ottavino,1247,493603,29705,adamottavino
16,Travis d'Arnaud,Travis d'Arnaud,7739,518595,29951,travisdarnaud
17,Paolo Espino,Paolo Espino,8246,502179,29989,paoloespino
18,Ryan Brasier,Ryan Brasier,5615,518489,30189,ryanbrasier
19,Freddie Freeman,Freddie Freeman,5361,518692,30193,freddiefreeman
20,Carlos Perez,Carlos Perez,10642,,30237,carlosperez
21,Carlos Santana,Carlos Santana,2396,467793,30280,carlossantana
22,Martín Maldonado,Martin Maldonado,6887,455117,30289,martinmaldonado
23,Daniel Hudson,Daniel Hudson,7146,543339,30376,danielhudson
24,Jose Iglesias,Jose Iglesias,10231,578428,30382,joseiglesias
25,Aroldis Chapman,Aroldis Chapman,10233,547973,30442,aroldischapman
26,Brandon Crawford,Brandon Crawford,5343,543063,30469,brandoncrawford
27,Ehire Adrianza,Ehire Adrianza,8418,501303,30471,ehireadrianza
28,Casey Kelly,Casey Kelly,9174,543391,30520,caseykelly
29,Kyle Higashioka,Kyle Higashioka,5517,543309,30545,kylehigashioka
30,Robert Stock,Robert Stock,6576,476594,30577,robertstock
31,Giancarlo Stanton,Giancarlo Stanton,4949,519317,30583,giancarlostanton
32,Bryan Shaw,Bryan Shaw,8110,543766,30589,bryanshaw
33,Wilmer Flores,Wilmer Flores,5827,527038,30627,wilmerflores
34,Craig Kimbrel,Craig Kimbrel,6655,518886,30653,craigkimbrel
35,Jay Jackson,Jay Jackson,7432,543351,30705,jayjackson
36,Avisaíl García,Avisail Garcia,5760,541645,30729,avisailgarcia
37,Shelby Miller,Shelby Miller,10197,571946,30738,shelbymiller
38,DJ LeMahieu,DJ LeMahieu,9874,518934,30765,djlemahieu
