,Original Team,team_id,NameASCII,tjid,fgId,type,years,dollars,aa_options,dup,aaa_options,arb_rate
0,Bayou Shooters,3,David Peterson,davidpeterson,20302,aaa_opt,1,0,,FALSE,TRUE,
1,Bayou Shooters,3,Gavin Lux,gavinlux,19955,aaa_opt,1,0,,FALSE,TRUE,
2,Bayou Shooters,3,Ivan Herrera,ivanherrera,20599,aaa_opt,1,0,,FALSE,TRUE,
3,Bayou Shooters,3,Spencer Schwellenbach,spencerschwellenbach,31846,contract,2,6.25,,FALSE,FALSE,
4,Bayou Shooters,3,Andres Gimenez,andresgimenez,19950,contract,1,6,,FALSE,FALSE,
5,Bayou Shooters,3,Anthony Santander,anthonysantander,14551,contract,1,5,,FALSE,FALSE,
6,Bayou Shooters,3,Brady Singer,bradysinger,25377,contract,1,3,,FALSE,FALSE,
7,Bayou Shooters,3,James Wood,jameswood,29518,contract,7,1,,FALSE,FALSE,
8,Bayou Shooters,3,Gavin Williams,gavinwilliams,30122,pre_arb,2,1,,FALSE,FALSE,
9,Bayou Shooters,3,Taj Bradley,tajbradley,22543,pre_arb,2,1,,FALSE,FALSE,
10,Bayou Shooters,3,Xavier Edwards,xavieredwards,22266,contract,2,1,,FALSE,FALSE,
11,Bayou Shooters,3,Edwin Diaz,edwindiaz,14710,pre_arb,1,1,,FALSE,FALSE,
13,Bayou Shooters,3,Jackson Merrill,jacksonmerrill,29490,pre_arb,1,1,,FALSE,FALSE,
14,Bayou Shooters,3,Oneil Cruz,oneilcruz,21711,pre_arb,1,1,,FALSE,FALSE,
15,Bayou Shooters,3,MJ Melendez,mjmelendez,22197,arb1,,0,,FALSE,FALSE,0.4
16,Bayou Shooters,3,Andrew Abbott,andrewabbott,29911,aaa_opt,1,0,,FALSE,TRUE,
17,Bayou Shooters,3,Michael Lorenzen,michaellorenzen,14843,aaa_opt,1,0,,FALSE,TRUE,
18,Bayou Shooters,3,Edward Cabrera,edwardcabrera,21690,pre_arb,2,1,,FALSE,FALSE,
20,Bayou Shooters,3,Logan Allen,loganallen1,27589,pre_arb,1,1,,FALSE,FALSE,
21,Bayou Shooters,3,Ryne Nelson,rynenelson,26253,pre_arb,1,1,,FALSE,FALSE,
22,Bayou Shooters,3,Alejandro Rosario,alejandrorosario,sa3023538,aa,,0,3,FALSE,FALSE,
23,Bayou Shooters,3,Braden Montgomery,bradenmontgomery,sa3038253,aa,,0,3,FALSE,FALSE,
24,Bayou Shooters,3,Brady House,bradyhouse,29993,aa,,0,3,FALSE,FALSE,
25,Bayou Shooters,3,Demetrio Crisantes,demetriocrisantes,sa3021051,aa,,0,3,FALSE,FALSE,
26,Bayou Shooters,3,Dustin Harris,dustinharris,25705,aa,,0,3,FALSE,FALSE,
27,Bayou Shooters,3,Dustin May,dustinmay,19716,aa,,0,1,FALSE,FALSE,
28,Bayou Shooters,3,Hurston Waldrep,hurstonwaldrep,33527,aa,,0,3,FALSE,FALSE,
29,Bayou Shooters,3,Josue Briceno,josuebriceno,sa3018584,aa,,0,3,FALSE,FALSE,
30,Bayou Shooters,3,Josue De Paula,josuedepaula,sa3018591,aa,,0,3,FALSE,FALSE,
31,Bayou Shooters,3,Kyle Bradish,kylebradish,24586,aa,,0,3,FALSE,FALSE,
32,Bayou Shooters,3,Liam Doyle,liamdoyle,sa3030545,aa,,0,3,FALSE,FALSE,
33,Bayou Shooters,3,Miguel Bleis,miguelbleis,sa3016834,aa,,0,3,FALSE,FALSE,
34,Bayou Shooters,3,River Ryan,riverryan,29514,aa,,0,3,FALSE,FALSE,
35,Bayou Shooters,3,Ronny Mauricio,ronnymauricio,23698,aa,,0,3,FALSE,FALSE,
36,The Cheating Raiders,1,Austin Riley,austinriley,18360,arb3,,0,,FALSE,FALSE,0.8
37,The Cheating Raiders,1,Dylan Cease,dylancease,18525,arb3,,0,,FALSE,FALSE,0.8
38,The Cheating Raiders,1,Nathaniel Lowe,nathaniellowe,19566,arb3,,0,,FALSE,FALSE,0.8
39,The Cheating Raiders,1,Logan Gilbert,logangilbert,22250,arb2,,0,,FALSE,FALSE,0.6
40,The Cheating Raiders,1,Tarik Skubal,tarikskubal,22267,arb2,,0,,FALSE,FALSE,0.6
41,The Cheating Raiders,1,Adley Rutschman,adleyrutschman,26288,arb1,,0,,FALSE,FALSE,0.4
42,The Cheating Raiders,1,Bobby Witt Jr.,bobbywittjr,25764,arb1,,0,,FALSE,FALSE,0.4
43,The Cheating Raiders,1,Clarke Schmidt,clarkeschmidt,19899,arb1,,0,,FALSE,FALSE,0.4
44,The Cheating Raiders,1,J.P. Crawford,jpcrawford,15491,aaa_opt,1,0,,FALSE,TRUE,
45,The Cheating Raiders,1,Manny Machado,mannymachado,11493,contract,1,7,,FALSE,FALSE,
46,The Cheating Raiders,1,Nick Kurtz,nickkurtz,35110,contract,10,1.13,,FALSE,FALSE,
47,The Cheating Raiders,1,Nico Hoerner,nicohoerner,21479,contract,1,1,,FALSE,FALSE,
