tjid,fgId,MLBAMID,espnId,NameASCII,C,1B,2B,SS,3B,OF,Util,SP,RP
shoheiohtani,19755,660271,39832,Shohei Ohtani,False,False,False,False,False,False,True,True,False
aaronjudge,15640,592450,33192,Aaron Judge,False,False,False,False,False,True,True,False,False
juansoto,20123,665742,36969,Juan Soto,False,False,False,False,False,True,True,False,False
paulskenes,33677,694973,4719507,Paul Skenes,False,False,False,False,False,False,False,True,False
joseramirez,13510,608070,32801,Jose Ramirez,False,False,False,False,True,False,True,False,False
tarikskubal,22267,669373,42409,Tarik Skubal,False,False,False,False,False,False,False,True,False
garrettcrochet,27463,676979,4297835,Garrett Crochet,False,False,False,False,False,False,False,True,False
bobbywittjr,25764,677951,42403,Bobby Witt Jr.,False,False,False,True,False,False,True,False,False
kyletucker,18345,663656,34967,Kyle Tucker,False,False,False,False,False,True,True,False,False
calraleigh,21534,663728,41292,Cal Raleigh,True,False,False,False,False,False,True,False,False
corbincarroll,25878,682998,42404,Corbin Carroll,False,False,False,False,False,True,True,False,False
yoshinobuyamamoto,33825,808967,4872587,Yoshinobu Yamamoto,False,False,False,False,False,False,False,True,False
logangilbert,22250,669302,41221,Logan Gilbert,False,False,False,False,False,False,False,True,False
kyleschwarber,16478,656941,33712,Kyle Schwarber,False,False,False,False,False,False,True,False,False
loganwebb,17995,657277,41216,Logan Webb,False,False,False,False,False,False,False,True,False
bryanwoo,30279,693433,4629089,Bryan Woo,False,False,False,False,False,False,False,True,False
maxfried,13743,608331,32685,Max Fried,False,False,False,False,False,False,False,True,False
fernandotatisjr,19709,665487,35983,Fernando Tatis Jr.,False,False,False,False,False,True,True,False,False
juliorodriguez,23697,677594,41044,Julio Rodriguez,False,False,False,False,False,True,True,False,False
juniorcaminero,28163,691406,4905921,Junior Caminero,False,False,False,False,True,False,True,False,False
freddyperalta,18679,642547,39825,Freddy Peralta,False,False,False,False,False,False,False,True,False
hunterbrown,25880,686613,4717803,Hunter Brown,False,False,False,False,False,False,False,True,False
ketelmarte,13613,606466,32512,Ketel Marte,False,False,True,False,False,False,True,False,False
cristophersanchez,20778,650911,42359,Cristopher Sanchez,False,False,False,False,False,False,False,True,False
franciscolindor,12916,596019,32129,Francisco Lindor,False,False,False,True,False,False,True,False,False
chrissale,10603,519242,30948,Chris Sale,False,False,False,False,False,False,False,True,False
mannymachado,11493,592518,31097,Manny Machado,False,False,False,False,True,False,True,False,False
ronaldacunajr,18401,660670,36185,Ronald Acuna Jr.,False,False,False,False,False,True,True,False,False
yordanalvarez,19556,670541,36018,Yordan Alvarez,False,False,False,False,False,True,True,False,False
gunnarhenderson,26289,683002,42507,Gunnar Henderson,False,False,False,True,False,False,True,False,False
alexbregman,17678,608324,34886,Alex Bregman,False,False,False,False,True,False,True,False,False
huntergreene,22182,668881,39635,Hunter Greene,False,False,False,False,False,False,False,True,False
vladimirguerrerojr,19611,665489,35002,Vladimir Guerrero Jr.,False,True,False,False,False,False,True,False,False
masonmiller,31757,695243,4730225,Mason Miller,False,False,False,False,False,False,False,False,True
dylancease,18525,656302,34943,Dylan Cease,False,False,False,False,False,False,False,True,False
edwindiaz,14710,621242,35394,Edwin Diaz,False,False,False,False,False,False,False,False,True
brentrooker,19627,667670,40926,Brent Rooker,False,False,False,False,False,True,True,False,False
joeryan,21390,657746,42450,Joe Ryan,False,False,False,False,False,False,False,True,False
frambervaldez,17295,664285,36581,Framber Valdez,False,False,False,False,False,False,False,True,False
williamcontreras,20503,661388,39895,William Contreras,True,False,False,False,False,False,True,False,False
andresmunoz,20373,662253,40939,Andres Munoz,False,False,False,False,False,False,False,False,True
nickpivetta,15454,601713,36071,Nick Pivetta,False,False,False,False,False,False,False,True,False
nicohoerner,21479,663538,41219,Nico Hoerner,False,False,True,False,False,False,True,False,False
codybellinger,15998,641355,33912,Cody Bellinger,False,False,False,False,False,True,True,False,False
cadesmith,27867,671922,4987924,Cade Smith,False,False,False,False,False,False,False,False,True
coleragans,21846,666142,41054,Cole Ragans,False,False,False,False,False,False,False,True,False
jacksonchourio,28806,694192,4917869,Jackson Chourio,False,False,False,False,False,True,True,False,False
georgekirby,25436,669923,42406,George Kirby,False,False,False,False,False,False,False,True,False
mookiebetts,13611,605141,33039,Mookie Betts,False,False,False,True,False,False,True,False,False
joshhader,14212,623352,32760,Josh Hader,False,False,False,False,False,False,False,False,True
jarrenduran,24617,680776,41610,Jarren Duran,False,False,False,False,False,True,True,False,False
blakesnell,13543,605483,33748,Blake Snell,False,False,False,False,False,False,False,True,False
jhoanduran,21029,661395,41109,Jhoan Duran,False,False,False,False,False,False,False,False,True
kevingausman,14107,592332,32667,Kevin Gausman,False,False,False,False,False,False,False,True,False
jacksonmerrill,29490,701538,4872691,Jackson Merrill,False,False,False,False,False,True,True,False,False
devinwilliams,15816,642207,33224,Devin Williams,False,False,False,False,False,False,False,False,True
austinriley,18360,663586,34982,Austin Riley,False,False,False,False,True,False,True,False,False
jacobdegrom,10954,594798,32796,Jacob deGrom,False,False,False,False,False,False,False,True,False
ellydelacruz,26668,682829,4917694,Elly De La Cruz,False,False,False,True,False,False,True,False,False
sonnygray,12768,543243,32082,Sonny Gray,False,False,False,False,False,False,False,True,False
josealtuve,5417,514888,31662,Jose Altuve,False,False,True,False,False,True,True,False,False
zackwheeler,10310,554430,31267,Zack Wheeler,False,False,False,False,False,False,False,True,False
aroldischapman,10233,547973,30442,Aroldis Chapman,False,False,False,False,False,False,False,False,True
georgespringer,12856,543807,32078,George Springer,False,False,False,False,False,True,True,False,False
