,name,name_ascii,fg_id,MLBAMID,espn_id,tj_id
3,Maikel Franco,Maikel Franco,12179,,32163,maikelfranco
5,Harold Castro,Harold Castro,14691,,32521,haroldcastro
6,Hyun Jin Ryu,Hyun Jin Ryu,14444,,32582,hyunjinryu
9,Franmil Reyes,Franmil Reyes,14566,,33339,franmilreyes
10,Franchy Cordero,Franchy Cordero,14567,,33340,franchycordero
11,Trey Mancini,Trey Mancini,15149,,33351,treymancini
13,Tayron Guerrero,Tayron Guerrero,11691,,33654,tayronguerrero
18,Anderson Espinoza,Anderson Espinoza,18593,,34987,andersonespinoza
21,Beau Burrows,Beau Burrows,18873,,35046,beauburrows
22,Ariel Jurado,Ariel Jurado,17030,,35281,arieljurado
23,Carlos Martinez,Carlos Martinez,sa3037142,,35838,carlosmartinez
24,Luis Perdomo,Luis Perdomo,14682,,35970,luisperdomo
25,Aaron Wilkerson,Aaron Wilkerson,16904,,36001,aaronwilkerson
26,Zach Jackson,Zach Jackson,sa3065331,,36002,zachjackson
27,Albert Abreu,Albert Abreu,17485,,36041,albertabreu
28,Jesus Liranzo,Jesus Liranzo,sa658076,,36054,jesusliranzo
29,Aneurys Zabala,Aneurys Zabala,20802,,36854,aneuryszabala
31,Chris Okey,Chris Okey,19245,,37774,chrisokey
32,Alberto Baldonado,Alberto Baldonado,11812,,38454,albertobaldonado
33,Jacob Bosiokovic,Jacob Bosiokovic,sa918394,,38587,jacobbosiokovic
34,David Rodriguez,David Rodriguez,sa3060402,,39574,davidrodriguez
39,Stephen Nogosek,Stephen Nogosek,19545,,39707,stephennogosek
40,Andrés Machado,Andres Machado,14681,,39776,andresmachado
41,Lewin Díaz,Lewin Diaz,18365,,39921,lewindiaz
42,Ronaldo Hernandez,Ronaldo Hernandez,sa881850,,40378,ronaldohernandez
43,Darwinzon Hernández,Darwinzon Hernandez,19848,,40502,darwinzonhernandez
45,Rodolfo Duran,Rodolfo Duran,sa877500,,40577,rodolfoduran
46,Kyle Keller,Kyle Keller,18890,,40709,kylekeller
50,James Nelson,James Nelson,sa3038750,,40954,jamesnelson
52,Jose Paulino,Jose Paulino,sa3024557,,40984,josepaulino
53,Bryan Mata,Bryan Mata,sa917784,,41007,bryanmata
54,Andy Yerzy,Andy Yerzy,sa917939,,41050,andyyerzy
55,Lachlan Wells,Lachlan Wells,sa877857,,41071,lachlanwells
56,Terrin Vavra,Terrin Vavra,24400,,41099,terrinvavra
59,Bo Takahashi,Bo Takahashi,sa830370,,41145,botakahashi
62,Domingo Robles,Domingo Robles,sa872881,,41297,domingorobles
63,Robinson Ortiz,Robinson Ortiz,sa3004006,,41300,robinsonortiz
64,Eduardo Garcia,Eduardo Garcia,sa3008751,,41303,eduardogarcia
65,Gabriel Rodriguez,Gabriel Rodriguez,sa3024645,,41305,gabrielrodriguez
66,Luis Peña,Luis Pena,sa3024134,,41322,luispena
69,Sandy Gaston,Sandy Gaston,sa3011136,,41414,sandygaston
70,Denyi Reyes,Denyi Reyes,20526,,41419,denyireyes
71,Moises Gomez,Moises Gomez,sa875163,,41508,moisesgomez
72,Justin Dean,Justin Dean,25005,,41531,justindean
74,Carlos De La Cruz,Carlos De La Cruz,sa3006903,,41623,carlosdelacruz
76,Joe Barlow,Joe Barlow,22296,,41741,joebarlow
77,Rafael Lantigua,Rafael Lantigua,sa3003219,,41955,rafaellantigua
78,Lane Ramsey,Lane Ramsey,25071,,41997,laneramsey
80,Jose Rodriguez,Jose Rodriguez,sa3015437,,42141,joserodriguez
81,Tanner Dodson,Tanner Dodson,sa3007008,,42152,tannerdodson
83,Humberto Mejía,Humberto Mejia,20739,,42358,humbertomejia
84,Miguel Yajure,Miguel Yajure,21111,,42361,miguelyajure
85,Matt Thompson,Matt Thompson,sa3043772,,42424,mattthompson
86,Luis Verdugo,Luis Verdugo,sa3006888,,42425,luisverdugo
87,Sammy Siani,Sammy Siani,sa3010704,,42432,sammysiani
88,Daniel Espino,Daniel Espino,sa3011495,,42438,danielespino
89,Thaddeus Ward,Thaddeus Ward,21513,,42439,thaddeusward
90,Julio Carreras,Julio Carreras,sa3005598,,42460,juliocarreras
95,Hyun-il Choi,Hyun-il Choi,sa3009992,,42492,hyunilchoi
96,Rafael Morel,Rafael Morel,sa3009534,,42501,rafaelmorel
97,Victor Bericoto,Victor Bericoto,sa3008767,,42502,victorbericoto
99,Nicholas Padilla,Nicholas Padilla,21327,,42522,nicholaspadilla
101,Victor Acosta,Victor Acosta,sa3015705,,42780,victoracosta
104,Clay Dungan,Clay Dungan,sa1169803,,42899,claydungan
105,Connor Overton,Connor Overton,18376,,42972,connoroverton
107,Matt Fraizer,Matt Fraizer,sa918983,,42980,mattfraizer
108,Yonathan Perlaza,Yonathan Perlaza,sa917302,,42989,yonathanperlaza
109,Blake Hunt,Blake Hunt,sa3004153,,43035,blakehunt
110,Dasan Brown,Dasan Brown,sa3011717,,43039,dasanbrown
111,Jimmy Herron,Jimmy Herron,sa3008183,,43398,jimmyherron
112,Oliver Ortega,Oliver Ortega,21025,,3173726,oliverortega
113,Kevin Kopps,Kevin Kopps,sa3017005,,3960907,kevinkopps
114,Riley Thompson,Riley Thompson,sa876287,,3962720,rileythompson
116,Reiss Knehr,Reiss Knehr,21541,,3965044,reissknehr
117,P.J. Poulin,P.J. Poulin,23394,,4019760,pjpoulin
118,T.J. Sikkema,T.J. Sikkema,sa3011191,,4081274,tjsikkema
119,Matt Cronin,Matt Cronin,sa3011463,,4081400,mattcronin
120,Shintaro Fujinami,Shintaro Fujinami,31839,,4142398,shintarofujinami
122,Sam Benschoter,Sam Benschoter,sa3017639,,4190017,sambenschoter
123,Nick Mikolajchak,Nick Mikolajchak,sa3010303,,4221118,nickmikolajchak
125,Caleb Knight,Caleb Knight,sa3008279,,4228296,calebknight
126,Jimmy Endersby,Jimmy Endersby,sa3014921,,4228438,jimmyendersby
127,Ryan Webb,Ryan Webb,sa3018280,,4297904,ryanwebb
128,Tommy Mace,Tommy Mace,sa3018140,,4297927,tommymace
129,Asa Lacy,Asa Lacy,sa3014423,,4298334,asalacy
130,Dustin Saenz,Dustin Saenz,sa3017610,,4298337,dustinsaenz
131,Brendan White,Brendan White,26024,,4298477,brendanwhite
132,Freddy Zamora,Freddy Zamora,sa3014500,,4298516,freddyzamora
133,Tanner Burns,Tanner Burns,sa3014451,,4298587,tannerburns
134,Brendan Cellucci,Brendan Cellucci,sa3011710,,4300831,brendancellucci
135,Tyler Mattison,Tyler Mattison,sa3018117,,4300972,tylermattison
136,Luke Waddell,Luke Waddell,sa3017075,,4315289,lukewaddell
137,Austin Love,Austin Love,sa3017609,,4326807,austinlove
138,Brendan Beck,Brendan Beck,sa3020680,,4345190,brendanbeck
139,Jacob Wallace,Jacob Wallace,sa3010374,,4345696,jacobwallace
141,Stevie Emanuels,Stevie Emanuels,sa3014698,,4346328,stevieemanuels
143,Max Ferguson,Max Ferguson,sa3016819,,4413977,maxferguson
144,Tanner Kohlhepp,Tanner Kohlhepp,sa3022238,,4413980,tannerkohlhepp
145,Eric Cerantola,Eric Cerantola,sa3017914,,4413997,ericcerantola
146,Quincy Hamilton,Quincy Hamilton,sa3017215,,4414180,quincyhamilton
147,Jud Fabian,Jud Fabian,sa3019942,,4414207,judfabian
150,Hudson Haskin,Hudson Haskin,sa3014449,,4415854,hudsonhaskin
151,Tyler McDonough,Tyler McDonough,sa3016869,,4416280,tylermcdonough
152,Luca Tresh,Luca Tresh,sa3017394,,4416289,lucatresh
153,Wade Stauss,Wade Stauss,sa3017000,,4416478,wadestauss
154,Ethan Wilson,Ethan Wilson,sa3060939,,4417251,ethanwilson
155,Cody Morissette,Cody Morissette,sa3017158,,4417804,codymorissette
156,Ryan Jensen,Ryan Jensen,sa3011496,,4418199,ryanjensen
