tjid,fgId,NameASCII,org,pos,age,jersey
shoheiohtani,19755,Shohei Ohtani,LAD,DH,31,17
aaronjudge,15640,Aaron Judge,NYY,OF,34,99
juansoto,20123,Juan Soto,NYM,OF,27,22
paulskenes,33677,Paul Skenes,PIT,SP,24,30
joseramirez,13510,Jose Ramirez,CLE,3B,33,11
tarikskubal,22267,Tarik Skubal,DET,SP,29,29
garrettcrochet,27463,Garrett Crochet,BOS,SP,27,35
bobbywittjr,25764,Bobby Witt Jr.,KCR,SS,26,7
kyletucker,18345,Kyle Tucker,LAD,OF,29,23
calraleigh,21534,Cal Raleigh,SEA,C,29,29
corbincarroll,25878,Corbin Carroll,ARI,OF,25,7
yoshinobuyamamoto,33825,Yoshinobu Yamamoto,LAD,SP,27,18
logangilbert,22250,Logan Gilbert,SEA,SP,29,36
kyleschwarber,16478,Kyle Schwarber,PHI,DH,33,12
loganwebb,17995,Logan Webb,SFG,SP,29,62
bryanwoo,30279,Bryan Woo,SEA,SP,26,22
maxfried,13743,Max Fried,NYY,SP,32,54
fernandotatisjr,19709,Fernando Tatis Jr.,SDP,OF,27,23
juliorodriguez,23697,Julio Rodriguez,SEA,OF,25,44
juniorcaminero,28163,Junior Caminero,TBR,3B,22,13
freddyperalta,18679,Freddy Peralta,NYM,SP,30,51
hunterbrown,25880,Hunter Brown,HOU,SP,27,58
ketelmarte,13613,Ketel Marte,ARI,2B,32,4
cristophersanchez,20778,Cristopher Sanchez,PHI,SP,29,61
franciscolindor,12916,Francisco Lindor,NYM,SS,32,12
chrissale,10603,Chris Sale,ATL,SP,37,51
mannymachado,11493,Manny Machado,SDP,3B,33,13
ronaldacunajr,18401,Ronald Acuna Jr.,ATL,OF,28,13
yordanalvarez,19556,Yordan Alvarez,HOU,DH,29,44
gunnarhenderson,26289,Gunnar Henderson,BAL,SS,25,2
alexbregman,17678,Alex Bregman,CHC,3B,32,3
huntergreene,22182,Hunter Greene,CIN,SP,26,21
vladimirguerrerojr,19611,Vladimir Guerrero Jr.,TOR,1B,27,27
masonmiller,31757,Mason Miller,SDP,RP,27,22
dylancease,18525,Dylan Cease,TOR,SP,30,84
edwindiaz,14710,Edwin Diaz,LAD,RP,32,3
brentrooker,19627,Brent Rooker,ATH,DH,31,25
joeryan,21390,Joe Ryan,MIN,SP,30,41
frambervaldez,17295,Framber Valdez,FA,SP,32,59
williamcontreras,20503,William Contreras,MIL,C,28,24
andresmunoz,20373,Andres Munoz,SEA,RP,27,75
nickpivetta,15454,Nick Pivetta,SDP,SP,33,27
nicohoerner,21479,Nico Hoerner,CHC,2B,29,2
codybellinger,15998,Cody Bellinger,NYY,OF,30,35
cadesmith,27867,Cade Smith,CLE,RP,27,36
coleragans,21846,Cole Ragans,KCR,SP,28,55
jacksonchourio,28806,Jackson Chourio,MIL,OF,22,11
georgekirby,25436,George Kirby,SEA,SP,28,68
mookiebetts,13611,Mookie Betts,LAD,SS,33,50
joshhader,14212,Josh Hader,HOU,RP,32,71
jarrenduran,24617,Jarren Duran,BOS,OF,29,16
blakesnell,13543,Blake Snell,LAD,SP,33,7
jhoanduran,21029,Jhoan Duran,PHI,RP,28,59
kevingausman,14107,Kevin Gausman,TOR,SP,35,34
jacksonmerrill,29490,Jackson Merrill,SDP,OF,23,3
devinwilliams,15816,Devin Williams,NYM,RP,31,38
austinriley,18360,Austin Riley,ATL,3B,29,27
