tjid,NameASCII,fgId,Name,Org,Pos,PlayerId,Age,_merge
maxstassi,Max Stassi,10059,,,,,,left_only
billyhamilton,Billy Hamilton,10199,,,,,,left_only
domingosantana,Domingo Santana,10348,,,,,,left_only
andrewbellatti,Andrew Bellatti,10657,,,,,,left_only
michaelmariot,Michael Mariot,10835,,,,,,left_only
vincevelasquez,Vince Velasquez,11189,,,,,,left_only
jakemarisnick,Jake Marisnick,11339,,,,,,left_only
dixonmachado,Dixon Machado,11472,,,,,,left_only
noahsyndergaard,Noah Syndergaard,11762,,,,,,left_only
orlandocalixte,Orlando Calixte,11905,,,,,,left_only
trevorbauer,Trevor Bauer,12703,,,,,,left_only
raulalcantara,Raul Alcantara,12790,,,,,,left_only
gregorypolanco,Gregory Polanco,12907,,,,,,left_only
joseosuna,Jose Osuna,12937,,,,,,left_only
michaelperez,Michael Perez,12977,,,,,,left_only
jakelamb,Jake Lamb,13329,,,,,,left_only
williamcuevas,William Cuevas,13331,,,,,,left_only
adriansampson,Adrian Sampson,13339,,,,,,left_only
drewverhagen,Drew VerHagen,13424,,,,,,left_only
johngant,John Gant,13684,,,,,,left_only
joeykrehbiel,Joey Krehbiel,13707,,,,,,left_only
robertoosuna,Roberto Osuna,13764,,,,,,left_only
albertalmorajr,Albert Almora Jr.,14109,,,,,,left_only
andrewvelazquez,Andrew Velazquez,14196,,,,,,left_only
yasielpuig,Yasiel Puig,14225,,,,,,left_only
joehudson,Joe Hudson,14412,,,,,,left_only
jbwendelken,J.B. Wendelken,14506,,,,,,left_only
rowanwick,Rowan Wick,14646,,,,,,left_only
keonekela,Keone Kela,14696,,,,,,left_only
lukevoit,Luke Voit,14811,,,,,,left_only
dylancovey,Dylan Covey,14825,,,,,,left_only
yackselrios,Yacksel Rios,15007,,,,,,left_only
trevorgott,Trevor Gott,15046,,,,,,left_only
timlocastro,Tim Locastro,15124,,,,,,left_only
zackweiss,Zack Weiss,15444,,,,,,left_only
victorreyes,Victor Reyes,15487,,,,,,left_only
masahirotanaka,Masahiro Tanaka,15764,,,,,,left_only
robkaminsky,Rob Kaminsky,15792,,,,,,left_only
adamplutko,Adam Plutko,15846,,,,,,left_only
oscarmercado,Oscar Mercado,16375,,,,,,left_only
christianarroyo,Christian Arroyo,16434,,,,,,left_only
jacobnottingham,Jacob Nottingham,16448,,,,,,left_only
ryanmcbroom,Ryan McBroom,16524,,,,,,left_only
brianokeefe,Brian O'Keefe,16680,,,,,,left_only
javyguerra,Javy Guerra,17292,,,,,,left_only
luisliberato,Luis Liberato,17307,,,,,,left_only
michaelchavis,Michael Chavis,17321,,,,,,left_only
patrickweigel,Patrick Weigel,17792,,,,,,left_only
isandiaz,Isan Diaz,17922,,,,,,left_only
andrewstevenson,Andrew Stevenson,17932,,,,,,left_only
jamesnaile,James Naile,18186,,,,,,left_only
austindean,Austin Dean,18288,,,,,,left_only
taylorhearn,Taylor Hearn,18325,,,,,,left_only
pjhiggins,P.J. Higgins,18433,,,,,,left_only
byunghopark,ByungHo Park,18497,,,,,,left_only
hyunsookim,Hyun Soo Kim,18718,,,,,,left_only
seunghwanoh,Seunghwan Oh,18719,,,,,,left_only
guillermoheredia,Guillermo Heredia,18721,,,,,,left_only
robertdugger,Robert Dugger,19191,,,,,,left_only
wesbenjamin,Wes Benjamin,19243,,,,,,left_only
justindunn,Justin Dunn,19268,,,,,,left_only
joserojas,Jose Rojas,19331,,,,,,left_only
jaegyunhwang,Jae-Gyun Hwang,19369,,,,,,left_only
kylefunkhouser,Kyle Funkhouser,19456,,,,,,left_only
alexdegoti,Alex De Goti,19477,,,,,,left_only
andrewvasquez,Andrew Vasquez,19482,,,,,,left_only
devinsmeltzer,Devin Smeltzer,19487,,,,,,left_only
ryanhendrix,Ryan Hendrix,19535,,,,,,left_only
jonduplantier,Jon Duplantier,19546,,,,,,left_only
natemondou,Nate Mondou,19563,,,,,,left_only
patrickmurphy,Patrick Murphy,19712,,,,,,left_only
darickhall,Darick Hall,19717,,,,,,left_only
kodiwhitley,Kodi Whitley,19731,,,,,,left_only
wilcrowe,Wil Crowe,19800,,,,,,left_only
charliebarnes,Charlie Barnes,19865,,,,,,left_only
drewellis,Drew Ellis,19873,,,,,,left_only
adonismedina,Adonis Medina,19903,,,,,,left_only
trevorstephan,Trevor Stephan,19932,,,,,,left_only
jaredoliva,Jared Oliva,19968,,,,,,left_only
tresbarrera,Tres Barrera,19977,,,,,,left_only
wyattmills,Wyatt Mills,20010,,,,,,left_only
evanwhite,Evan White,20078,,,,,,left_only
