fullName,espnId
Jhancarlos Lara,5310247
Ray Delgado,41291
Gleider Figuereo,5099970
Izaac Pacheco,4917780
Nicholas Raposo,5124253
CJ Stubbs,5124556
Carlos Silva,5150969
Packy Naughton,4690629
Nicholas Kent,4414537
Candido Cuevas,5194680
Jerming Rosario,4722877
Jonatan Bernal,5194686
Jacob Palisch,4345203
Eric Silva,4919928
Starlin Aguilar,4919917
Luis Valdez,5332364
Nick Bitsko,4720858
Jaime Melendez,4917806
Aldo Ramirez,4722912
Victor Munoz,4722920
Reginald Preciado,42538
Rafael Flores,5131743
Luis Almeyda,5150960
Trent Palmer,4321820
Jose Daniel Salvador,4881987
Scott Randall,4424954
Camilo Diaz,5150956
Carlos Rodriguez,41400
Noah Denoyer,5116832
Junior Tilien,4917898
Austin Hansen,3975623
Steven Fuentes,34013
Yeiler Peguero,40964
Nolan Kingham,42695
Carlos Colmenarez,4722602
Anderson Franco,35041
Aaron Leasher,42852
Yeyson Yrizarri,33780
Wilkerman Garcia,35011
Danny De Andrade,4722885
Norwith Gudino,43010
Ben Cowles,4867665
Derian Cruz,41023
Adam Scott,3724047
Leandro Lopez,5332995
Adam Seminaris,4686057
Chih-Jung Liu,4722950
Randall Wynne,4991600
C.J. Van Eyk,4315215
Victor Santos,4873578
Francisco Perez,4879750
Jose Hernandez,5123576
Cody Morris,3960993
Adrian Martinez,4915829
Josh Taylor,36173
Kelvin Caceres,5173612
Mauricio Llovera,41564
Ricky Karcher,5116837
Joseph Record,4991319
Kade McClure,3387792
Cameron Robinson,5007908
Adrian Hernandez,4920830
Junior Rafael Santos,4917846
Colin Peluse,4228397
Brooks Wilson,41946
Carlos Garcia,4722973
Raffi Vizcaino,42594
Jose Cruz,5123754
Mason Auer,5016701
Drew Carlton,41480
Matt Tabor,40945
Juan Then,39819
Andrew Politi,42072
Jaime Barria,34956
Brailyn Marquez,41182
Quinn Brodey,41087
Jimmy Cordero,34850
Jordany Ventura,4917892
Russell Smith,4314155
Bryce Bonnin,4297749
Edgar Navarro,4987395
Jordi Martinez,4917923
Chad Smith,3960877
Ronald Guzman,33241
Nelson Alvarez,4415278
Melvin Adon,40979
Silvino Bracho,34119
Domingo Tapia,32160
Rony Garcia,42378
Braden Bristo,41734
J.C. Mejia,40421
Jose Lopez,4993432
Reyes Moronta,36069
Zac Houston,40046
Hector Perez,41070
Enmanuel Mejia,4974357
Daniel Castano,42621
Domingo Acevedo,35010
Jordan Mikel,4325349
Geronimo Franzua,5194330
Edwin Nunez,4920834
Johan Quezada,4684370
Luis Reyes,41039
Edwin Escobar,32659
Seth Corry,41043
Richard Guasch,4875960
Luis Ledo,41991
Jorge Benitez,5131857
Josimar Cousin,5193602
Freddy Pacheco,4905917
Mason Fox,4717836
Cole Mcdonald,5136173
Wandisson Charles,42628
Sam Delaplane,40876
Blake Cederlind,42357
Chris Muller,4713651
Zachary Greene,4991336
Jace Vines,3961021
Jackson Rees,4313412
Darien Nunez,42738
Marcel Renteria,4717900
Graeme Stinson,4297983
Fitzpatrick Miller Stadler,41957
Jose Martinez,4722943
Yoelvin Silven,4917795
Tahnaj Thomas,41138
Jose Mujica,33297
Yefri Del Rosario,41372
Miguel Romero,36140
Tommy Eveld,41114
Alex Scherff,40961
Keegan Curtis,43028
Jasseel De La Cruz,41401
Odalvi Javier,4987636
Victor Castaneda,4917863
JJ Goss,42420
Tyler Dyson,4728686
Jeremy Wu-Yelland,4651511
Matt Mikulski,4414292
Sam Weatherly,4307827
Mason Denaburg,41188
Steven Hajjar,4423336
Irv Carter,4917903
Koen Moreno,4684313
James Bourque,41140
Caleb Simpson,42550
Ofreidy Gomez,41236
Jake Thompson,40932
Jol Concepcion,41046
Aneudy Cortorreal,4722883
Neraldo Catalina,4720893
Osiel Rodriguez,41304
Naswell Paulino,4722918
Santiago Florez,41189
Jimmy Lewis,42499
Burl Carraway,4345884
Yoljeldriz Diaz,4722934
John Patterson,3107510
Fernery Ozuna,34087
Franklin Perez,36187
Carter Baumler,4686505
Alec Willis,4920832
Alvin Guzman,4917630
Landon Sims,4619512
Sadrac Franco,5194580
Sam Thoresen,4345174
Denny Bentley,5194583
Luis A Rodriguez,5194639
Luis Vizcaino,5196116
Will Ethridge,4081367
Gianluca Dalatri,4228267
Luis Ramirez,4654175
Christian Chamberlain,5133456
Eduar Segovia,5194582
Jarlin Garcia,33843
Miguel Sanchez,41449
Felix Paulino,41124
Cameron Bishop,40526
Alexander Wells,40503
Thomas Burrows,36117
Tyler Zombro,41652
Henry Martinez,39580
Daniel Alvarez,41530
Zack Erwin,34952
Gerson Bautista,39708
Ramon Santos,40496
Yorvin Pantoja,4986467
Dalbert Siri,40523
Eduardo Jimenez,39803
Carlos Belen,42130
Marcos Diplan,33774
Jeff Singer,39391
Alexander Guillen,39165
Robert Broom,41798
Andres Alejandro Sotillet,4728699
Kit Scheetz,41525
Ramon Rosso,42587
Carson LaRue,42681
Yennsy Diaz,41147
Ryley Gilliam,41942
Juan Gamez,42673
Luis Madero,39715
Thomas Jankins,42585
Ofelky Peralta,4979555
Arnaldo Hernandez,41445
Edgar Garcia,37582
Jojanse Torres,41900
Pedro Payano,35328
Cristian Alvarado,42595
Jacob Condra-Bogan,41105
Morgan Cooper,40985
Adonis Uceta,39877
Michael Matuella,34949
Elvis Escobar,34049
Jairo Labourt,33298
Gabriel Moya,38250
Eduardo Paredes,36047
Jairo Beras,35275
Yohander Mendez,34875
Zach Shepherd,33961
Elniery Garcia,33753
Emerson Jimenez,33610
Alberto Tirado,33220
Janser Lara,41361
Garrett Cave,40994
Luis Escobar,39820
Merandy Gonzalez,39687
Cody Reed,35289
Drew Finley,35283
Ashe Russell,35039
Elieser Medrano,41048
Jerryell Rivera,40943
Robert Dominguez,42549
Juan Querecuto,41026
Darius Valdez,40758
Yoan Lopez,33690
Angel Rondon,42606
Anderson Severino,41528
Dario Agrazal,39813
Joan Martinez,41019
Pearson McMahan,41016
Francis Martes,34965
Chester Pimentel,4974409
Wladimir Pinto,41518
Jason Bahr,41102
Kevin Joel Gadea,36082
Yadier Alvarez,34960
Danny Dopico,41499
Jose Almonte,36004
William Tribucher,4019457
Freicer Perez,40923
Roither Hernandez,4722958
Tomas Alastre,41062
Leonardo Rodriguez,40933
Audry Lugo,4722947
Jose Albertos,40990
Stiward Aquino,40974
Osvanni Gutierrez,4722966
Octavio Becerra,4720855
Brian Marconi,4987656
Nathan Kirby,34998
Yoan Aybar,42356
Danny Denz,4086140
Austin Warner,40842
Johan Simon,5194638
Geison Urbaez,5194683
Accimias Morales,5194685
Chris Clarke,4306795
Ryan Murphy,4919927
Thomas Farr,4619813
Robert Puason,42419
Fidel Montero,4917905
Justin Lange,4717897
Brock Porter,5080643
Jun-Seok Shim,5125245
Richard Rodriguez,35243
Alex Colome,31255
Jeurys Familia,31687
Enrique Burgos,34838
Fernando Abad,30417
Daniel Vellojin,4917693
Javier D'Orazio,4722937
Samuel Hernandez,5195196
Andrick Nava,42686
Nick Meyer,41676
Ricardo Genoves,41745
Philip Clarke,4297990
Matheu Nelson,4418627
Manny Pina,30268
Carter Bins,42764
Tyler Cropley,4228554
Jose Godoy,41443
Nicholas Kahle,4734323
Meibrys Viloria,39810
Adrian Sugastey,4920906
Julio Rodriguez,40618
Matt Whatley,40565
Michael Trautwein,4418088
Stevie Berman,38961
Jesus Galiz,4722959
Anthony Mulrine,42872
David Garcia,2220970
Aaron Antonini,42607
Ethan Hearn,4917692
Brett Cumberland,41117
Randy Moises Florentino,42820
CJ Rodriguez,4622187
Rayner Santana,4920904
Hendrik Clementina,39718
Cameron Barstad,4728687
Santiago Chavez,35687
Francisco Arcia,32437
Logan Tanner,4619513
Charles Mack,4722945
Will Simoneit,4623367
Victor Mesia,4920829
Eric Rodriguez,5132178
Naysbel Marcano,4722944
Christopher Bec,42803
Harrison Wenson,41540
Jhon Nunez,39927
Logan Brown,42885
Keinner Pina,38712
Roldani Baldwin,39531
Carlos Soto,42609
Antonio Cabello,41396
B.J. Lopez,39197
Kungkuan Giljegiljaw,37338
Sam McMillan,41015
Ronnier Quintero,42465
Michael Oliveto,5293516
Cristopher Larez,5150937
Dawel Joseph,5196127
Kristin Munroe,4917828
Anthony Rodriguez,4920907
Luis Tejeda,4510285
Alex De Jesus,42466
Marcos Cabrera,4720892
Cristhian Rodriguez,4917837
Yohander Martinez,42505
Adinso Reyes,42498
Alejandro Pie,4722914
Aaron Bracho,41280
Cristian Gonzalez,4917805
Luis Toribio,42476
Roberto Chirinos,4722574
Jose Sanchez,41067
Debby Santana,4722860
Antoni Flores,41256
Luis Santana,41360
Yeison Coca,41192
Juan Fernandez,41937
Seth Gray,42840
Tyler Keenan,4298015
Adrian Rondon,33754
Ronny Brito,41398
Hernan Perez,30878
Tanner Morris,4414542
Eduardo Escobar,30272
Hanser Alberto,32839
Lucas Ritter,42637
Juniel Querecuto,32351
Nicholas Quintana,42652
Kelvin Gutierrez,36994
Richard Urena,33788
Rayder Ascanio,34197
Ruddy Giron,35027
Jomar Reyes,33772
Roberto Baldoquin,33807
Jordan Cowan,38032
Abiatal Avelino,35188
Matt Canterino,4197740
Enmanuel De Jesus,41513
Juan Pinto,4919920
Oscar Pujols,5196208
Richard Gallardo,41340
Chris McMahon,4298508
Kohl Franklin,4917683
Joander David Suarez,4917843
Chad Dallas,4833695
Maddux Bruns,4872693
Calvin William Ziegler,4917894
Frankie Mozzicato,4872650
Manuel Mercedes,4919926
Matt Frisbee,4085161
Efrain Contreras,4918249
Noah Skirrow,4413896
Norge Vera,4722891
Thomas Parsons,42605
Javier Atencio,5194332
Luis Patino,41176
Drew Rucinski,33619
Max Castillo,41004
Peyton Battenfield,4179552
Luis Cessa,34837
Jay Groome,36182
Julio Urias,33223
Chris Vallimont,42210
Roenis Elias,33152
Ricardo Sanchez,33262
Fernando Romero,36060
Franklyn Kilome,33836
Ronald Bolanos,36022
Ronald Herrera,35012
Landon Marceaux,4414364
Nolan Watson,35040
Kendall Williams,42483
Hendry Chivilli,5150945
Brayan Medina,4918252
Jake Kalish,41446
Gray Fenter,35279
Denny Larrondo,4722952
Jairo Solis,41066
Ethan Hankins,41181
Hunter Barnhart,4683364
Drew Gray,5194636
Marwys Jorge,5150886
Luis Reyes,5150941
Rodney Boone,4424137
Ryan Costeiu,4721013
Wei-Chieh Huang,35285
Steven Fuentes,40608
Brett Conine,4019788
Yefry Ramirez,36051
Rogelio Armenteros,36887
Elvis Luciano,41089
Emilio Vargas,41146
Ethan Elliott,4717835
Paul Richan,42212
Oscar De La Cruz,34944
Dennis Francis Brady,4686058
Harol Gonzalez,40983
Jordan Humphreys,41011
Breiling Eusebio,40998
Luis Rijo,4722892
Adrian Florencio,4974340
Alvaro Seijas,40942
Alexander Vizcaino,42539
Nico Rodriguez,4722879
Hector Yan,41193
Landon Leach,41025
Daiveyon Whittle,4722349
Daniel McGrath,36639
Grayson Long,34959
Felix Jorge,33242
Matt Blandino,38829
Adonis Rosa,38101
Matt Ball,35975
Clinton Hollon,35280
Casey Meisner,34825
Jen-Ho Tseng,33791
Marcos Molina,33761
Brady Aiken,34953
Jose Rivera,4717901
Erling Moreno,41053
Imani Abdullah,40977
Jio Orozco,35298
Jake Agnos,4085136
Carlos Herrera,41336
Resly Linares,41081
Austin Franklin,41033
Wennington Romero,40986
Christian James,40970
Juan Meza,35287
Alfredo Jose Garcia,42253
Matthew Bruce Allan,42192
Braden Olthoff,4683490
Seth Hernandez,5293137
Kendry Chourio,5303971
Micah Ottenbreit,5332990
Abimelec Ortiz,5194635
Marten Gasparini,35038
Julio Garcia,33846
