,Name_x,NameASCII_x,fgId,MLBAMID_x,espnId_x,Name_y,NameASCII_y,MLBAMID_y,espnId_y,_merge
0,Austin Smith,Austin Smith,sa3017071,,35030,,,,,left_only
1,Austin Smith,Austin Smith,sa3042481,801563,35030,,,,,left_only
2,Brady Feigl,Brady Feigl,15968,621399,33738,,,,,left_only
3,Brady Feigl,Brady Feigl,15968,621399,41438,,,,,left_only
4,Bryce Johnson,Bryce Johnson,sa3059603,,42056,,,,,left_only
5,Bryce Johnson,Bryce Johnson,sa3066896,,42056,,,,,left_only
6,Carlos Perez,Carlos Perez,10642,,40760,,,,,left_only
7,Carlos Perez,Carlos Perez,10642,,30237,,,,,left_only
8,Carson Kelly,Carson Kelly,sa3035205,,32797,,,,,left_only
9,Carson Kelly,Carson Kelly,sa3035206,,32797,,,,,left_only
10,Cooper Johnson,Cooper Johnson,sa3010584,,42612,,,,,left_only
11,Cooper Johnson,Cooper Johnson,sa3066436,,42612,,,,,left_only
12,Cristian Hernandez,Cristian Hernandez,sa3015696,,4917922,,,,,left_only
13,Cristian Hernandez,Cristian Hernandez,sa3015696,,4917689,,,,,left_only
14,Dylan Smith,Dylan Smith,sa3042540,,4414123,,,,,left_only
15,Dylan Smith,Dylan Smith,sa3042541,,4414123,,,,,left_only
16,Dylan Smith,Dylan Smith,sa3060607,,4414123,,,,,left_only
17,Jose Ramos,Jose Ramos,sa3008845,,4722895,,,,,left_only
18,Jose Ramos,Jose Ramos,sa3016541,,4722895,,,,,left_only
19,Jose Ramos,Jose Ramos,sa3016541,,4722895,,,,,left_only
20,Jose Ramos,Jose Ramos,sa3016541,,5196170,,,,,left_only
21,Jose Ramos,Jose Ramos,sa3008845,,4722895,,,,,left_only
22,Jose Ramos,Jose Ramos,sa3008845,,5196170,,,,,left_only
23,Jose Ramos,Jose Ramos,sa3008845,,5196170,,,,,left_only
24,Jose Ramos,Jose Ramos,sa3016541,,5196170,,,,,left_only
25,Jose Rodriguez,Jose Rodriguez,sa3015437,,42818,,,,,left_only
26,Jose Rodriguez,Jose Rodriguez,sa3015437,,42141,,,,,left_only
27,Jose Torres,Jose Torres,sa3043965,,4619675,,,,,left_only
28,Jose Torres,Jose Torres,sa3017396,,4619675,,,,,left_only
29,Kevin Smith,Kevin Smith,20242,675656,42599,,,,,left_only
30,Kevin Smith,Kevin Smith,20242,675656,41562,,,,,left_only
31,Koyo Aoyagi,Koyo Aoyagi,sa3066034,,4872583,,,,,left_only
32,Koyo Aoyagi,Koyo Aoyagi,sa3062961,,4872583,,,,,left_only
33,Logan Allen,Logan Allen,18555,663531,4683350,,,,,left_only
34,Logan Allen,Logan Allen,18555,663531,35024,,,,,left_only
35,Luis Garcia,Luis Garcia,sa3031942,,33089,,,,,left_only
36,Luis Garcia,Luis Garcia,sa3031942,,4684365,,,,,left_only
37,Luis Garcia,Luis Garcia,sa3031942,,41257,,,,,left_only
38,Luis Guerrero,Luis Guerrero,31184,692285,4997599,,,,,left_only
39,Luis Guerrero,Luis Guerrero,31184,692285,5132025,,,,,left_only
40,Luis Ortiz,Luis Ortiz,16942,656814,2966,,,,,left_only
41,Luis Ortiz,Luis Ortiz,16942,656814,5101355,,,,,left_only
42,Luis Peña,Luis Pena,sa3024134,,5196161,,,,,left_only
43,Luis Peña,Luis Pena,sa3024134,,41322,,,,,left_only
44,Moises Gomez,Moises Gomez,sa875163,,4717837,,,,,left_only
45,Moises Gomez,Moises Gomez,sa875163,,41508,,,,,left_only
46,Noah Miller,Noah Miller,sa3017512,,4872698,,,,,left_only
47,Noah Miller,Noah Miller,sa3060045,,4872698,,,,,left_only
48,Peyton Wilson,Peyton Wilson,sa3060942,,4620004,,,,,left_only
49,Peyton Wilson,Peyton Wilson,sa3017110,,4620004,,,,,left_only
50,Ryan Johnson,Ryan Johnson,sa3065548,,5007859,,,,,left_only
51,Ryan Johnson,Ryan Johnson,sa3022569,,5007859,,,,,left_only
52,Trent Baker,Trent Baker,sa3026452,,4995828,,,,,left_only
53,Trent Baker,Trent Baker,sa3017504,,4995828,,,,,left_only
54,Ty Johnson,Ty Johnson,sa3023410,,4742411,,,,,left_only
55,Ty Johnson,Ty Johnson,sa3034822,,4742411,,,,,left_only
56,Will Smith,Will Smith,sa3042655,,31549,,,,,left_only
57,Will Smith,Will Smith,sa3042655,,38309,,,,,left_only
58,Will Smith,Will Smith,sa3042657,,31549,,,,,left_only
59,Will Smith,Will Smith,sa3042657,,31549,,,,,left_only
60,Will Smith,Will Smith,sa3042657,,38309,,,,,left_only
61,Will Smith,Will Smith,sa3042655,,31549,,,,,left_only
62,Will Smith,Will Smith,sa3042655,,38309,,,,,left_only
63,Will Smith,Will Smith,sa3042657,,38309,,,,,left_only
64,Wilmer Flores,Wilmer Flores,sa3015223,,30627,,,,,left_only
65,Wilmer Flores,Wilmer Flores,sa3015223,,5123583,,,,,left_only
