Original Team,NameASCII
Young Bucks,Brandon Nimmo
Young Bucks,Byron Buxton
Ryno World,Trevor Story
Dip City Thunder,Heliot Ramos
Orlando Renegades,Jonathan Aranda
Ryno World,Alec Burleson
Springfield Zephyrs,Matthew Boyd
Bayou Shooters,Ivan Herrera
Dip City Thunder,Otto Lopez
Bayou Shooters,Andrew Abbott
Bayou Shooters,David Peterson
Springfield Zephyrs,TJ Friedl
Detroit Nittany Tide,Andrew Vaughn
West Coast Spartans,Caleb Durbin
The Cheating Raiders,J.P. Crawford
Midtown Jaguars,Matt Wallner
Springfield Zephyrs,Ryan O'Hearn
Country Strong,Alejandro Kirk
Orlando Renegades,Jorge Soler
The Cheating Raiders,Nolan Gorman
Structure Fire,Dean Kremer
Country Strong,Zack Littell
Structure Fire,Andrew Benintendi
Dip City Thunder,Ryan Jeffers
Orlando Renegades,Griffin Jax
Young Bucks,Sean Burke
West Coast Spartans,Spencer Horwitz
Dip City Thunder,Davis Martin
Orlando Renegades,Eduardo Rodriguez
Country Strong,Josh Smith
Dip City Thunder,Michael McGreevy
Ryno World,Justin Verlander
Structure Fire,Tyler Stephenson
Detroit Nittany Tide,Andre Pallante
Bayou Shooters,Gavin Lux
Orlando Renegades,Lane Thomas
West Coast Spartans,Aaron Civale
Orlando Renegades,JP Sears
Orlando Renegades,Tyler O'Neill
Young Bucks,Patrick Bailey
Detroit Nittany Tide,Jose Caballero
Detroit Nittany Tide,Jake Irvin
Orlando Renegades,Miles Mikolas
West Coast Spartans,Freddy Fermin
West Coast Spartans,Simeon Woods Richardson
Orlando Renegades,Jose Quintana
Orlando Renegades,Luis Rengifo
Bayou Shooters,Michael Lorenzen
Dip City Thunder,Tyler Anderson
Midtown Jaguars,Yoan Moncada
Country Strong,Joe Boyle
West Coast Spartans,Garrett Mitchell
Springfield Zephyrs,Marcus Stroman
Midtown Jaguars,Sean Murphy
Springfield Zephyrs,Kirby Yates
Midtown Jaguars,Ha-Seong Kim
Detroit Nittany Tide,Luke Weaver
Midtown Jaguars,Carlos Santana
The Cheating Raiders,Michael Conforto
Ryno World,Lourdes Gurriel Jr.
Country Strong,Camilo Doval
Young Bucks,Jonathan Cannon
The Cheating Raiders,Javier Baez
Orlando Renegades,Seth Halvorsen
Springfield Zephyrs,Ryan Feltner
West Coast Spartans,Lucas Erceg
Structure Fire,Mitchell Parker
Midtown Jaguars,Chris Martin
Orlando Renegades,Matt Vierling
Dip City Thunder,Tyler Kinley
Orlando Renegades,Isiah Kiner-Falefa
Ryno World,Jonah Heim
Orlando Renegades,Connor Wong
Ryno World,Yennier Cano
The Cheating Raiders,Jason Adam
Ryno World,Bailey Falter
Structure Fire,Tobias Myers
Detroit Nittany Tide,Jake Rogers
West Coast Spartans,Kyle Hart
Midtown Jaguars,Max Kepler
Structure Fire,Beau Brieske
Detroit Nittany Tide,Chad Green
Detroit Nittany Tide,Austin Gomber
Ryno World,Mitch Spence
Dip City Thunder,Hayden Wesneski
Detroit Nittany Tide,Trey Sweeney
Young Bucks,Osvaldo Bido
Young Bucks,Tony Gonsolin
West Coast Spartans,Erick Fedde
Midtown Jaguars,Luis Ortiz
Orlando Renegades,Andrew Heaney
Springfield Zephyrs,Clayton Kershaw
