name,proj,abbrev,type
Nick Kurtz,608.0,CR,contract
Matt Olson,595.0,,
Vladimir Guerrero Jr.,576.0,,
Pete Alonso,568.0,,
Rafael Devers,559.0,,
Vinnie Pasquantino,547.0,MJ,arb1
Bryce Harper,522.0,,
Spencer Torkelson,521.0,DET,contract
Freddie Freeman,519.0,ORl,contract
Josh Naylor,516.0,,
Michael Busch,506.0,DCT,pre_arb
Tyler Soderstrom,499.0,MJ,aa
Christian Walker,499.0,,
Ben Rice,476.0,YB,aa
Willson Contreras,469.0,,
Yandy Diaz,466.0,,
Spencer Steer,453.0,DCT,arb1
Salvador Perez,450.0,,
Alec Burleson,430.0,RW,aaa_opt
Luis Arraez,426.0,,
Jonathan Aranda,425.0,ORl,aaa_opt
Kyle Manzardo,422.0,CS,aa
Miguel Vargas,419.0,CS,pre_arb
Andrew Vaughn,416.0,DET,aaa_opt
Jake Burger,414.0,,
Ryan O'Hearn,410.0,SZ,aaa_opt
Josh Bell,389.0,,
Nolan Schanuel,378.0,,
Lenyn Sosa,377.0,,
Nathaniel Lowe,361.0,CR,arb3
Sal Stewart,360.0,ORl,aa
Paul Goldschmidt,344.0,,
Spencer Horwitz,340.0,WCS,aaa_opt
Josh Smith,339.0,CS,aaa_opt
Coby Mayo,322.0,WCS,aa
Ty France,319.0,,
Ryan Mountcastle,294.0,,
Jared Triolo,288.0,,
CJ Kayfus,284.0,,
Pavin Smith,274.0,,
Edouard Julien,273.0,,
Nick Yorke,271.0,,
Carlos Santana,271.0,MJ,aaa_opt
Luke Raley,245.0,,
Rhys Hoskins,235.0,,
Endy Rodriguez,234.0,,
Kody Clemens,233.0,,
Wilmer Flores,232.0,,
Liam Hicks,229.0,,
Rowdy Tellez,225.0,,
Triston Casas,217.0,DCT,pre_arb
Andres Chaparro,202.0,,
Romy Gonzalez,201.0,,
Otto Kemp,194.0,,
LaMonte Wade Jr.,192.0,,
Jake Bauers,188.0,,
Enrique Hernandez,182.0,,
Eric Wagaman,173.0,,
Donovan Solano,173.0,,
Dominic Smith,170.0,,
Ezequiel Duran,165.0,,
Curtis Mead,158.0,,
Christian Encarnacion-Strand,158.0,CS,pre_arb
Tim Tawa,148.0,,
Justin Turner,139.0,,
Blaine Crim,129.0,,
Tyler Locklear,125.0,,
Abraham Toro,122.0,,
Jonathon Long,121.0,,
Jeimer Candelario,119.0,,
Warming Bernabel,115.0,,
Charlie Condon,114.0,SF,aa
Tyler Black,89.0,CR,aa
Enmanuel Valdez,77.0,,
Troy Johnston,66.0,,
Nick Sogard,65.0,,
Trey Mancini,58.0,,
Liover Peguero,57.0,,
Tim Elko,56.0,,
Ildemaro Vargas,53.0,,
Justin Foscue,45.0,,
Ralphy Velazquez,44.0,,
Bob Seymour,43.0,,
Ryan Clifford,43.0,MJ,aa
Deyvison De Los Santos,42.0,,
Ryan Noda,42.0,,
Michael Toglia,41.0,YB,contract
Tre' Morgan,40.0,,
Josue Briceno,38.0,BS,aa
Logan Davidson,36.0,,
Billy Cook,36.0,,
Carter Kieboom,34.0,,
Joey Meneses,33.0,,
Vimael Machin,0.0,,
Matt Gorski,0.0,,
Yohandy Morales,0.0,DET,aa
David Villar,0.0,,
Victor Bericoto,0.0,,
Jon Singleton,0.0,,
Ivan Melendez,0.0,,
Aaron Sabato,0.0,,
Keston Hiura,0.0,,
Blake Burke,0.0,,
Cam Collier,0.0,ORl,aa
Nathan Hickey,0.0,,
Ike Irish,0.0,,
Pablo Aliendo,0.0,,
Brian Anderson,0.0,,
Micah Pries,0.0,,
Jose Abreu,0.0,,
Anthony Rizzo,0.0,,
Joey Gallo,0.0,,
Jason Vosler,0.0,,
Jared Walsh,0.0,,
Elehuris Montero,0.0,,
Malcom Nunez,0.0,,
Nick Pratto,0.0,,
J.D. Davis,0.0,,
Matt Mervis,0.0,,
Damiano Palmegiani,0.0,,
Alex Binelas,0.0,,
Bobby Dalbec,0.0,,
Wes Clarke,0.0,,
Tristin English,0.0,,
Matthew Batten,0.0,,
Andre Lipcius,0.0,,
Patrick Wisdom,0.0,,
Brandon Drury,0.0,,
Garrett Cooper,0.0,,
Luis Verdugo,0.0,,
Edwin Rios,0.0,,
Charles Leblanc,0.0,,
Tanner Thach,0.0,,
Niko Kavadas,0.0,,
Nick Solak,0.0,,
Blaze Jordan,0.0,,
David Hensley,0.0,,
Enrique Jimenez,0.0,,
Eduardo Herrera,0.0,,
Lewin Diaz,0.0,,
Tyler Nevin,0.0,,
Mike Ford,0.0,,
Jose Salas,0.0,,
Bligh Madris,0.0,,
Jack Gurevitch,0.0,,
Juan Yepez,0.0,,
Austin Shenton,0.0,,
