name,pos_string,player_mlb_org,player_age,abbrev,contract_type,contract_years,contract_dollars,fp_atc,fp_alt,alt-atc,fp_avg,fp_e,atc-e
Jose Ramirez,3B/UTIL,CLE,33.0,,,,,596.0797200000001,582.62679,-13.452930000000038,589.353255,647.0,-50.920279999999934
Eugenio Suarez,3B/UTIL,CIN,34.0,,,,,464.83098799999993,467.40719,2.5762020000000803,466.119089,562.0,-97.16901200000008
Junior Caminero,3B/UTIL,TBR,22.0,ORl,pre_arb,2.0,1.0,540.9116919999999,531.5449209999999,-9.366770999999972,536.2283064999999,554.0,-13.088308000000096
Manny Machado,3B/UTIL,SDP,33.0,CR,contract,1.0,7.0,492.4223820000001,490.87632063,-1.546061370000075,491.6493513150001,551.0,-58.57761799999992
Jazz Chisholm Jr.,2B/3B/UTIL,NYY,28.0,MJ,arb2,,0.0,514.32935,502.60111,-11.728239999999971,508.46523,526.0,-11.670650000000023
Alex Bregman,3B/UTIL,CHC,32.0,,,,,471.9522400000001,466.649885,-5.302355000000091,469.30106250000006,490.0,-18.04775999999993
Austin Riley,3B/UTIL,ATL,29.0,CR,arb3,,0.0,481.21508,495.27965000000006,14.06457000000006,488.24736500000006,487.0,-5.78492
Maikel Garcia,3B/UTIL,KCR,26.0,CR,aa,,0.0,486.1769900000001,482.6364400000001,-3.540549999999996,484.4067150000001,478.0,8.176990000000046
Matt Chapman,3B/UTIL,SFG,33.0,,,,,475.97204,490.6916,14.719559999999944,483.33182,456.0,19.972039999999996
Noelvi Marte,3B/OF/UTIL,CIN,24.0,SZ,aa,,0.0,383.75822,385.6202,1.8619800000000168,384.68921,437.0,-53.241780000000006
Kazuma Okamoto,3B/UTIL,,,,,,,384.011578,394.640248,10.628669999999945,389.325913,429.0,-44.98842199999996
Jordan Westburg,3B/UTIL,BAL,27.0,,,,,444.78465,445.58598,0.801330000000064,445.185315,426.0,18.784649999999942
Isaac Paredes,3B/UTIL,HOU,27.0,,,,,346.060423,329.553976,-16.50644699999998,337.8071995,422.0,-75.93957700000004
Miguel Vargas,3B/1B/UTIL,CHW,26.0,CS,pre_arb,2.0,1.0,414.61659,429.76461,15.148020000000033,422.1906,419.0,-4.383410000000026
Munetaka Murakami,3B/UTIL,,,CS,contract,5.0,1.0,429.9974590000001,458.135336,28.137876999999943,444.0663975,415.0,14.997459000000047
Ryan McMahon,3B/UTIL,NYY,31.0,,,,,327.730448,328.14099,0.410541999999964,327.935719,405.0,-77.26955199999998
Caleb Durbin,3B/UTIL,MIL,26.0,WCS,aaa_opt,1.0,0.0,389.25742,367.49106,-21.766359999999963,378.37424,400.0,-10.742580000000032
Addison Barger,3B/OF/UTIL,TOR,26.0,DET,aa,,0.0,331.58443700000004,326.0538,-5.53063700000007,328.8191185,399.0,-67.41556299999996
Jonathan India,2B/3B/OF/UTIL,KCR,29.0,DET,contract,1.0,4.0,345.78522,362.02451,16.23929000000004,353.904865,393.0,-47.21478000000002
Josh Smith,3B/1B/SS/UTIL,TEX,28.0,CS,aaa_opt,1.0,0.0,308.72966,299.4522,-9.27746000000002,304.09093,386.0,-77.27033999999998
Carlos Correa,3B/SS/UTIL,HOU,31.0,,,,,382.772519,369.38277,-13.389748999999997,376.0776445,384.0,-1.2274810000000116
Connor Norby,3B/UTIL,MIA,26.0,SZ,pre_arb,2.0,1.0,329.63314,323.74302,-5.890120000000024,326.68808,380.0,-50.36685999999997
Josh Jung,3B/UTIL,TEX,28.0,RW,arb1,,0.0,349.14537000000007,345.32608,-3.819290000000081,347.235725,371.0,-21.85462999999993
Jordan Lawlar,3B/UTIL,ARI,23.0,SF,aa,,0.0,117.9596,118.28024,0.3206400000000116,118.11992,367.0,-249.0404
Max Muncy,3B/UTIL,LAD,35.0,,,,,363.82652,360.56839,-3.258130000000051,362.197455,366.0,-2.173479999999984
Alec Bohm,3B/UTIL,PHI,29.0,DCT,arb3,,0.0,391.84568,382.871969,-8.97371099999998,387.3588245,366.0,25.84567999999996
