name,pos_string,player_mlb_org,player_age,abbrev,contract_type,contract_years,contract_dollars,fp_atc,fp_alt,alt-atc,fp_avg,fp_e,atc-e
Cal Raleigh,C/UTIL,SEA,29.0,,,,,548.795885,541.0896829999999,-7.706202000000076,544.942784,627.0,-78.204115
William Contreras,C/UTIL,MIL,28.0,,,,,464.822932,463.81138,-1.0115519999999378,464.317156,514.0,-49.17706800000002
Ben Rice,C/1B/UTIL,NYY,27.0,YB,aa,,0.0,444.51450000000006,441.65484,-2.8596600000000763,443.08467,476.0,-31.485499999999945
Hunter Goodman,C/UTIL,COL,26.0,,,,,450.35271,452.54692,2.194209999999998,451.449815,464.0,-13.647289999999998
Agustin Ramirez,C/UTIL,MIA,24.0,MJ,aa,,0.0,373.08719,360.662206,-12.424983999999938,366.874698,455.0,-81.91281000000004
Salvador Perez,C/1B/UTIL,KCR,36.0,,,,,424.615173,438.576098,13.960925000000032,431.5956355,450.0,-25.38482700000003
Shea Langeliers,C/UTIL,ATH,28.0,,,,,433.81636,437.44954,3.6331799999999816,435.6329500000001,441.0,-7.1836399999999685
Yainer Diaz,C/UTIL,HOU,27.0,DET,contract,1.0,2.0,374.26857,367.348037,-6.9205330000000345,370.8083035,412.0,-37.73142999999999
Drake Baldwin,C/UTIL,ATL,25.0,ORl,aa,,0.0,386.082151,352.177649,-33.90450199999998,369.1299,412.0,-25.917849000000047
Adley Rutschman,C/UTIL,BAL,28.0,CR,arb1,,0.0,395.153922,401.472672,6.318750000000023,398.313297,403.0,-7.846078000000034
Will Smith,C/UTIL,LAD,31.0,,,,,399.18571,423.55273000000005,24.367020000000025,411.36922,394.0,5.185710000000029
Kyle Teel,C/UTIL,CHW,24.0,ORl,aa,,0.0,325.56212,314.80449000000004,-10.75762999999995,320.183305,357.0,-31.437880000000007
J.T. Realmuto,C/UTIL,PHI,35.0,,,,,331.03045999999995,345.80373000000003,14.773270000000082,338.417095,350.0,-18.96954000000005
Samuel Basallo,C/UTIL,BAL,21.0,SZ,aa,,0.0,300.916371,291.35636800000003,-9.560002999999938,296.1363695,341.0,-40.08362900000003
Alejandro Kirk,C/UTIL,TOR,27.0,CS,aaa_opt,1.0,0.0,345.985407,356.70035,10.714943000000003,351.3428785,339.0,6.985407000000009
Austin Wells,C/UTIL,NYY,26.0,YB,pre_arb,1.0,1.0,322.25403,312.73173,-9.522299999999971,317.49288,334.0,-11.74597
Ryan Jeffers,C/UTIL,MIN,29.0,DCT,aaa_opt,1.0,0.0,345.688651,335.735808,-9.95284300000003,340.7122295,330.0,15.688650999999991
Carlos Narvaez,C/UTIL,BOS,27.0,,,,,268.45453,270.853936,2.399405999999999,269.654233,327.0,-58.54547000000002
Dillon Dingler,C/UTIL,DET,27.0,,,,,271.9335,263.517427,-8.416072999999983,267.7254635,327.0,-55.06650000000002
Gabriel Moreno,C/UTIL,ARI,26.0,SZ,arb1,,0.0,319.56876,314.55177,-5.016990000000021,317.060265,316.0,3.568759999999997
Tyler Stephenson,C/UTIL,CIN,29.0,SF,aaa_opt,1.0,0.0,294.604879,293.175026,-1.42985299999998,293.8899525,303.0,-8.395121000000017
Francisco Alvarez,C/UTIL,NYM,24.0,SF,pre_arb,1.0,1.0,319.44768,292.81941399999994,-26.628266000000053,306.133547,302.0,17.44767999999999
Logan O'Hoppe,C/UTIL,LAA,26.0,SZ,pre_arb,1.0,1.0,300.483631,311.82001,11.336378999999964,306.1518205,301.0,-0.5163689999999974
Patrick Bailey,C/UTIL,SFG,27.0,YB,aaa_opt,1.0,0.0,286.1018,272.482162,-13.619638000000007,279.291981,297.0,-10.898200000000031
Bo Naylor,C/UTIL,CLE,26.0,MJ,pre_arb,1.0,1.0,313.72825,306.38814,-7.340109999999981,310.058195,285.0,28.728250000000003
Carson Kelly,C/UTIL,CHC,31.0,,,,,249.088458,252.29439900000003,3.205941000000024,250.69142850000003,275.0,-25.911542
Keibert Ruiz,C/UTIL,WSN,27.0,MJ,arb2,,0.0,195.557759,181.9967,-13.561059,188.7772295,272.0,-76.44224100000002
Pedro Pages,C/UTIL,STL,27.0,,,,,194.755764,185.47822,-9.277544000000034,190.116992,256.0,-61.244236
Carter Jensen,C/UTIL,KCR,22.0,,,,,263.06358,262.12069,-0.942890000000034,262.592135,253.0,10.063580000000002
Edgar Quero,C/UTIL,CHW,23.0,,,,,264.997009,264.79244000000006,-0.2045689999999353,264.89472450000005,244.0,20.99700899999999
Kyle Higashioka,C/UTIL,TEX,36.0,,,,,176.95566699999998,167.61847319999998,-9.337193799999994,172.2870701,241.0,-64.04433300000002
Freddy Fermin,C/UTIL,SDP,31.0,WCS,aaa_opt,1.0,0.0,266.348156,257.12087,-9.227285999999992,261.734513,233.0,33.34815600000002
Joey Bart,C/UTIL,PIT,29.0,RW,contract,1.0,1.0,212.903072,219.896594,6.993522000000013,216.399833,231.0,-18.09692799999999
Liam Hicks,C/1B/UTIL,MIA,27.0,,,,,138.291779,131.465945,-6.825833999999986,134.878862,229.0,-90.708221
Sean Murphy,C/UTIL,ATL,31.0,MJ,aaa_opt,1.0,0.0,233.73985,230.499668,-3.2401820000000043,232.119759,224.0,9.73984999999999
Mitch Garver,C/UTIL,FA,35.0,,,,,140.405201,141.212435,0.807233999999994,140.808818,217.0,-76.594799
Danny Jansen,C/UTIL,TEX,31.0,,,,,223.246483,215.939973,-7.3065099999999745,219.593228,217.0,6.246482999999984
Dalton Rushing,C/UTIL,LAD,25.0,SZ,aa,,0.0,135.78044400000002,134.639303,-1.1411410000000046,135.2098735,199.0,-63.21955599999998
Henry Davis,C/UTIL,PIT,26.0,RW,aa,,0.0,170.741147,175.95993299999998,5.218785999999966,173.35054,195.0,-24.258852999999988
Nick Fortes,C/UTIL,TBR,29.0,,,,,176.08159899999998,168.438102,-7.643496999999996,172.25985049999997,185.0,-8.918401000000017
Victor Caratini,C/UTIL,MIN,32.0,,,,,234.189362,236.75304,2.5636779999999817,235.471201,175.0,59.18936200000002
Hunter Feduccia,C/UTIL,TBR,29.0,,,,,153.261454,144.132827,-9.128626999999994,148.6971405,161.0,-7.738546000000014
Endy Rodriguez,C/1B/UTIL,PIT,26.0,,,,,77.953531,76.643777,-1.309753999999998,77.298654,160.0,-82.046469
Jake Rogers,C/UTIL,DET,31.0,DET,aaa_opt,1.0,0.0,122.287895,118.211743,-4.076152000000008,120.249819,154.0,-31.712104999999998
Luis Torrens,C/UTIL,NYM,30.0,,,,,135.19898,135.02006,-0.178920000000005,135.10952,153.0,-17.801019999999994
Elias Diaz,C/UTIL,FA,35.0,,,,,78.103988,79.43897547000002,1.3349874700000155,78.77148173500001,145.0,-66.896012
Travis d'Arnaud,C/UTIL,LAA,37.0,,,,,141.683419,144.408857,2.725437999999997,143.046138,143.0,-1.3165809999999851
Harry Ford,C/UTIL,WSN,23.0,SZ,aa,,0.0,175.41778399999998,176.77696400000002,1.3591800000000376,176.097374,142.0,33.41778399999998
