name,pos_string,player_mlb_org,player_age,abbrev,contract_type,contract_years,contract_dollars,fp_atc,fp_alt,alt-atc,fp_avg,fp_e,atc-e
Aaron Judge,OF/UTIL,NYY,34.0,,,,,687.78222,695.5330580000001,7.750838000000044,691.657639,776.0,-88.21777999999995
Juan Soto,OF/UTIL,NYM,27.0,,,,,664.6596769999999,648.990736,-15.668940999999904,656.8252064999999,721.0,-56.340323000000126
Corbin Carroll,OF/UTIL,ARI,25.0,WCS,arb1,,0.0,609.9329,603.41797,-6.514930000000049,606.675435,622.0,-12.067099999999982
Julio Rodriguez,OF/UTIL,SEA,25.0,DCT,arb2,,0.0,572.91777,567.6832499999999,-5.234520000000089,570.30051,604.0,-31.08222999999998
Ronald Acuna Jr.,OF/UTIL,ATL,28.0,RW,contract,3.0,11.75,575.8637600000001,582.79905,6.935289999999895,579.331405,603.0,-27.13623999999993
Fernando Tatis Jr.,OF/UTIL,SDP,27.0,CS,contract,2.0,1.0,572.35662,579.0365400000001,6.679920000000038,575.69658,595.0,-22.64337999999998
Kyle Tucker,OF/UTIL,LAD,29.0,MJ,arb3,,0.0,579.0163600000001,562.41743,-16.59893000000011,570.716895,589.0,-9.983639999999925
Jarren Duran,OF/UTIL,BOS,29.0,DCT,arb1,,0.0,479.78291,487.88222,8.099310000000003,483.8325650000001,577.0,-97.21708999999998
Randy Arozarena,OF/UTIL,SEA,31.0,MJ,contract,1.0,2.8,502.23646,512.32463,10.088169999999993,507.280545,568.0,-65.76354000000003
James Wood,OF/UTIL,WSN,23.0,BS,contract,7.0,1.0,517.55817,511.55603,-6.002140000000054,514.5571,566.0,-48.44182999999998
Brent Rooker,OF/UTIL,ATH,31.0,,,,,540.33007,548.0947180000001,7.764648000000079,544.212394,562.0,-21.669930000000026
Jackson Chourio,OF/UTIL,MIL,22.0,CS,contract,8.0,1.1,526.0016300000001,514.38502,-11.616610000000035,520.1933250000001,555.0,-28.99836999999991
Pete Crow-Armstrong,OF/UTIL,CHC,24.0,SZ,pre_arb,2.0,1.0,509.93767,502.16707,-7.770600000000002,506.05237,554.0,-44.06233000000003
Roman Anthony,OF/UTIL,BOS,22.0,WCS,aa,,0.0,473.95275,470.50469,-3.448059999999998,472.22872000000007,546.0,-72.04724999999996
Brandon Nimmo,OF/UTIL,TEX,33.0,YB,aaa_opt,1.0,0.0,463.53209,464.32412,0.7920299999999543,463.928105,525.0,-61.46790999999996
Yordan Alvarez,OF/UTIL,HOU,29.0,,,,,488.01482,513.52484,25.51002000000005,500.76983,521.0,-32.985180000000014
Ian Happ,OF/UTIL,CHC,31.0,,,,,479.15307,477.73489,-1.4181800000000069,478.44398,520.0,-40.84692999999999
Jakob Marsee,OF/UTIL,MIA,25.0,,,,,441.99268,415.60624,-26.386439999999997,428.79946,516.0,-74.00731999999999
Wyatt Langford,OF/UTIL,TEX,24.0,ORl,pre_arb,2.0,1.0,516.3533900000001,513.97532,-2.3780700000000934,515.1643550000001,514.0,2.353390000000104
Riley Greene,OF/UTIL,DET,25.0,SF,arb1,,0.0,495.27461000000005,479.09736,-16.177250000000072,487.185985,512.0,-16.725389999999948
Seiya Suzuki,OF/UTIL,CHC,31.0,DET,contract,2.0,6.0,487.17651,499.80478,12.628270000000043,493.490645,510.0,-22.82349000000005
Taylor Ward,OF/UTIL,BAL,32.0,,,,,485.18029,488.85389,3.673599999999965,487.01709,507.0,-21.819709999999983
George Springer,OF/UTIL,TOR,36.0,,,,,461.60122000000007,469.99488,8.393659999999898,465.79805,506.0,-44.39877999999993
Jurickson Profar,OF/UTIL,ATL,33.0,,,,,439.91387,437.32556,-2.5883100000000354,438.6197149999999,506.0,-66.08613000000003
Tyler Soderstrom,1B/OF/UTIL,ATH,24.0,MJ,aa,,0.0,446.27303,446.58562000000006,0.3125900000001138,446.429325,499.0,-52.72697000000005
Cody Bellinger,OF/UTIL,NYY,30.0,,,,,474.64572,448.84318,-25.802539999999965,461.74445,498.0,-23.354280000000017
Lawrence Butler,OF/UTIL,ATH,25.0,RW,contract,3.0,4.3,433.38824,435.50979,2.1215500000000134,434.449015,492.0,-58.61176
Byron Buxton,OF/UTIL,MIN,32.0,YB,aaa_opt,1.0,0.0,463.51905,457.3061900000001,-6.212859999999921,460.41262000000006,490.0,-26.480950000000007
