name,pos_string,player_mlb_org,player_age,abbrev,contract_type,contract_years,contract_dollars,fp_atc,fp_alt,alt-atc,fp_avg,fp_e,atc-e
Cade Smith,RP,CLE,27.0,YB,aa,,0.0,530.862655,510.0,-20.862655000000014,520.4313275,635.0,-104.13734499999998
Mason Miller,RP,SDP,27.0,DCT,contract,1.0,1.0,539.1141,535.0,-4.114100000000008,537.05705,602.5,-63.38589999999999
Edwin Diaz,RP,LAD,32.0,BS,pre_arb,1.0,1.0,585.738,557.0,-28.738000000000056,571.369,583.5,2.2380000000000564
Jhoan Duran,RP,PHI,28.0,,,,,536.7059700000001,496.5,-40.20597000000009,516.602985,562.5,-25.794029999999907
David Bednar,RP,NYY,31.0,,,,,499.841705,508.5,8.65829500000001,504.1708525,562.0,-62.15829500000001
Andres Munoz,RP,SEA,27.0,,,,,521.68145,468.0,-53.68145000000004,494.840725,556.5,-34.81854999999996
Aroldis Chapman,RP,BOS,38.0,,,,,487.19074,496.0,8.809259999999995,491.59537,549.0,-61.80926
Josh Hader,RP,HOU,32.0,,,,,514.34754,503.5,-10.84753999999998,508.92377,523.5,-9.15246000000002
Carlos Estevez,RP,KCR,33.0,,,,,473.99587,447.5,-26.495870000000025,460.747935,517.5,-43.504129999999975
Raisel Iglesias,RP,ATL,36.0,,,,,456.29694,425.5,-30.796940000000006,440.89847,501.0,-44.70306
Trevor Megill,RP,MIL,32.0,,,,,394.84454,256.5,-138.34453999999994,325.67227,493.0,-98.15546000000006
Emilio Pagan,RP,CIN,35.0,,,,,425.0298200000001,440.0,14.970179999999914,432.51491,492.0,-66.97017999999991
Devin Williams,RP,NYM,31.0,WCS,contract,1.0,2.3,502.23381,506.5,4.266190000000051,504.366905,484.5,17.73380999999995
Pete Fairbanks,RP,MIA,32.0,,,,,432.51704500000005,428.0,-4.517045000000053,430.2585225,455.5,-22.982954999999947
Daniel Palencia,RP,CHC,26.0,,,,,443.548885,491.5,47.95111499999996,467.5244425,452.5,-8.951114999999959
Kenley Jansen,RP,DET,38.0,,,,,389.28718,367.5,-21.787179999999974,378.39359,450.5,-61.21282000000002
Ryan Helsley,RP,BAL,31.0,,,,,468.540415,423.0,-45.540415,445.7702075,432.5,36.040415
Griffin Jax,RP,TBR,31.0,ORl,aaa_opt,1.0,0.0,340.544705,326.0,-14.544705000000022,333.2723525,418.5,-77.95529499999998
Jeff Hoffman,RP,TOR,33.0,,,,,446.46586,428.5,-17.96586000000002,437.48293,409.0,37.46586000000002
Robert Garcia,RP,TEX,30.0,,,,,323.338225,365.0,41.661775000000034,344.1691125,400.0,-76.66177500000003
Ian Seymour,SP/RP,TBR,27.0,,,,,254.261775,240.5,-13.761774999999972,247.3808875,394.0,-139.73822500000003
Ryan Walker,RP,SFG,30.0,,,,,408.25315,432.0,23.746849999999995,420.126575,369.5,38.753150000000005
Nick Martinez,SP/RP,FA,35.0,,,,,299.571875,336.0,36.42812500000002,317.7859375,363.5,-63.92812500000002
Edwin Uceta,RP,TBR,28.0,CR,aa,,0.0,325.31724,316.5,-8.81723999999997,320.90862,355.0,-29.68276000000003
Joey Cantillo,SP/RP,CLE,26.0,,,,,312.52578,327.0,14.474220000000004,319.76289,348.5,-35.97422
Kevin Ginkel,RP,ARI,32.0,,,,,222.82190000000003,195.5,-27.321900000000028,209.16095,333.0,-110.17809999999996
Seranthony Dominguez,RP,CHW,31.0,,,,,371.859425,364.0,-7.8594249999999874,367.9297125,322.5,49.35942499999999
Reid Detmers,RP,LAA,26.0,,,,,336.2269339999999,398.0,61.773066000000085,367.113467,318.0,18.226933999999915
Riley O'Brien,RP,STL,31.0,,,,,304.66866,315.0,10.331340000000012,309.83433,301.0,3.668659999999989
Bryan Abreu,RP,HOU,29.0,YB,aa,,0.0,266.913995,233.5,-33.413995,250.2069975,300.5,-33.586005
Dennis Santana,RP,PIT,30.0,,,,,394.036945,424.0,29.963055,409.0184725,292.5,101.536945
JoJo Romero,RP,STL,29.0,,,,,281.637035,289.5,7.862965000000031,285.5685175,291.0,-9.362965000000033
Abner Uribe,RP,MIL,26.0,,,,,358.917685,447.5,88.582315,403.2088425,284.5,74.417685
Ryne Nelson,SP/RP,ARI,28.0,BS,pre_arb,1.0,1.0,360.3297600000001,405.5,45.17023999999992,382.91488,283.5,76.82976000000008
Hogan Harris,RP,ATH,29.0,,,,,227.37453,241.0,13.625470000000009,234.187265,269.5,-42.12547000000001
Taylor Rogers,RP,MIN,35.0,,,,,241.65713,349.5,107.84287,295.578565,265.0,-23.342870000000005
Brad Lord,SP/RP,WSN,26.0,,,,,279.89943,278.5,-1.3994299999999953,279.199715,258.0,21.899429999999995
Steven Matz,RP,TBR,35.0,,,,,271.57264000000004,310.0,38.427359999999965,290.78632000000005,255.0,16.572640000000035
Will Vest,RP,DET,31.0,,,,,254.01643,228.0,-26.016429999999986,241.008215,250.5,3.516429999999985
Erick Fedde,SP/RP,FA,33.0,WCS,aaa_opt,1.0,0.0,42.216835,7.24212,-34.974715,24.7294775,249.5,-207.283165
Grant Taylor,RP,CHW,24.0,CS,aa,,0.0,264.91866500000003,270.5,5.581334999999967,267.7093325,249.0,15.918665000000033
Wilmer Flores,RP,,,,,,,0.0,3.80168,0.0,0.0,240.0,-240.0
Jeremiah Estrada,RP,SDP,27.0,,,,,234.572205,227.5,-7.072204999999997,231.0361025,237.0,-2.4277950000000037
Robert Suarez,RP,ATL,35.0,,,,,294.74728000000005,260.0,-34.747280000000046,277.37364,235.5,59.247280000000046
Victor Vodnik,RP,COL,26.0,,,,,309.02228,362.0,52.97771999999998,335.51114,233.5,75.52228000000002
Luke Weaver,RP,NYM,32.0,DET,aaa_opt,1.0,0.0,230.335675,211.5,-18.83567499999998,220.9178375,233.0,-2.66432500000002
Taijuan Walker,SP/RP,PHI,33.0,,,,,206.764239,185.0,-21.764239000000003,195.8821195,230.0,-23.235761
Ben Joyce,RP,LAA,25.0,RW,aa,,0.0,120.83195,129.5,8.668049999999994,125.165975,228.0,-107.16805
Tony Santillan,RP,CIN,29.0,,,,,215.87368,216.0,0.126320000000021,215.93684,224.0,-8.126320000000021
Paul Sewald,RP,FA,36.0,,,,,116.868645,122.5,5.631355000000013,119.6843225,220.0,-103.131355
Braxton Ashcraft,SP/RP,PIT,26.0,,,,,305.530225,318.0,12.469775000000029,311.7651125,219.5,86.03022499999997
Phil Maton,RP,CHC,33.0,,,,,220.90131,209.5,-11.401310000000024,215.200655,219.5,1.4013100000000236
Ben Brown,SP/RP,CHC,26.0,DCT,aa,,0.0,136.92207000000002,115.0,-21.92207000000002,125.961035,217.5,-80.57792999999998
Andrew Kittredge,RP,BAL,36.0,,,,,242.95638000000005,215.5,-27.456380000000053,229.22819000000004,217.5,25.456380000000053
David Robertson,RP,FA,41.0,,,,,,,,,,
Garrett Whitlock,RP,BOS,30.0,,,,,222.03011,219.0,-3.030109999999979,220.515055,212.5,9.53010999999998
Camilo Doval,RP,NYY,28.0,CS,aaa_opt,1.0,0.0,218.527605,188.0,-30.527604999999998,203.2638025,212.0,6.527604999999994
Yimi Garcia,RP,TOR,35.0,,,,,191.811505,199.0,7.188494999999989,195.4057525,212.0,-20.18849499999999
Alex Vesia,RP,LAD,30.0,,,,,201.05229,179.0,-22.05229,190.026145,210.0,-8.94771
Jose Ferrer,RP,SEA,26.0,,,,,199.19304500000004,222.5,23.30695499999996,210.8465225,209.5,-10.30695499999996
Calvin Faucher,RP,MIA,30.0,,,,,203.15703499999995,202.0,-1.1570349999999507,202.5785175,208.5,-5.342965000000049
Jack Dreyer,SP/RP,LAD,27.0,,,,,102.470435,130.0,27.529565000000005,116.2352175,208.0,-105.529565
Dylan Lee,RP,ATL,31.0,,,,,191.057375,180.0,-11.05737499999998,185.5286875,206.5,-15.44262500000002
Matt Strahm,RP,KCR,34.0,,,,,202.01709,169.5,-32.51709,185.758545,206.5,-4.482910000000004
Tyler Holton,SP/RP,DET,30.0,,,,,183.12194,180.0,-3.121939999999995,181.56097,203.5,-20.378060000000005
Adrian Morejon,RP,SDP,27.0,,,,,219.126405,218.0,-1.1264050000000054,218.5632025,200.5,18.626405000000005
Jordan Leasure,RP,CHW,27.0,,,,,229.1829,212.5,-16.682900000000018,220.84145,199.5,29.682900000000014
Troy Melton,RP,DET,25.0,,,,,173.91022,150.0,-23.91022000000001,161.95511,198.5,-24.58977999999999
Jason Adam,RP,SDP,34.0,CR,aaa_opt,1.0,0.0,127.959085,135.0,7.040914999999998,131.4795425,198.0,-70.040915
Kyle Leahy,RP,STL,29.0,,,,,236.457672,255.5,19.042328000000023,245.978836,197.5,38.95767199999997
Tommy Kahnle,RP,FA,36.0,,,,,113.534205,121.0,7.465795000000014,117.2671025,197.5,-83.96579500000001
Kirby Yates,RP,LAA,39.0,SZ,aaa_opt,1.0,0.0,247.973615,208.0,-39.973615,227.9868075,196.0,51.973615
Keegan Akin,RP,BAL,31.0,,,,,175.60994499999998,186.5,10.890055000000018,181.0549725,195.5,-19.890055000000014
Robert Stephenson,RP,LAA,33.0,,,,,240.09324,326.5,86.40675999999999,283.29662,193.0,47.09324000000001
Javier Sanoja,2B/3B/OF/UTIL/RP,MIA,23.0,,,,,159.73349,162.33186,2.598370000000017,161.03267499999998,193.0,-33.26651000000001
Matt Brash,RP,SEA,28.0,,,,,205.658105,201.0,-4.658104999999978,203.3290525,190.0,15.658104999999978
Hunter Gaddis,RP,CLE,28.0,,,,,204.709185,182.0,-22.70918499999999,193.3545925,189.5,15.20918499999999
Albert Suarez,RP,BAL,36.0,,,,,50.069235,49.5,-0.569234999999999,49.7846175,189.0,-138.930765
Jared Koenig,RP,MIL,32.0,,,,,184.463355,174.5,-9.96335499999998,179.4816775,187.5,-3.0366450000000214
Tanner Scott,RP,LAD,31.0,,,,,229.17759,207.0,-22.17759000000001,218.088795,187.5,41.67759000000001
Ben Casparius,RP,LAD,27.0,,,,,115.759751,129.5,13.740248999999991,122.6298755,186.0,-70.24024899999999
Tyler Rogers,RP,TOR,35.0,,,,,181.324045,189.5,8.175955000000016,185.4120225,186.0,-4.675955000000016
Kyle Finnegan,RP,DET,34.0,,,,,207.285275,192.5,-14.785274999999984,199.8926375,186.0,21.285274999999984
Eduard Bazardo,RP,SEA,30.0,,,,,165.55129499999998,193.5,27.948705000000015,179.5256475,185.5,-19.948705000000015
Fernando Cruz,RP,NYY,36.0,,,,,191.566925,179.5,-12.06692499999997,185.5334625,185.0,6.566924999999969
Jordan Romano,RP,LAA,33.0,,,,,181.11703,142.0,-39.11703,161.558515,183.5,-2.3829700000000003
Chris Martin,RP,TEX,40.0,MJ,aaa_opt,1.0,0.0,161.80360499999998,178.0,16.196395000000024,169.90180249999997,182.0,-20.196395000000024
Cole Sands,RP,MIN,28.0,,,,,202.17792,190.5,-11.67792,196.33896,181.5,20.67792
Greg Weissert,RP,BOS,31.0,,,,,152.830595,155.0,2.169405000000012,153.9152975,180.5,-27.66940500000001
Justin Topa,RP,MIN,35.0,,,,,204.245915,198.5,-5.745914999999968,201.3729575,179.0,25.245914999999968
Seth Halvorsen,RP,COL,26.0,ORl,aaa_opt,1.0,0.0,216.636825,166.5,-50.13682499999999,191.5684125,179.0,37.63682499999999
Michael Kelly,RP,ATH,33.0,,,,,167.888785,160.5,-7.388785000000013,164.1943925,179.0,-11.111214999999987
Gabe Speier,RP,SEA,31.0,,,,,173.097345,166.0,-7.09734499999999,169.5486725,177.0,-3.90265500000001
Shawn Armstrong,RP,CLE,35.0,,,,,191.5264,202.5,10.973600000000005,197.0132,176.5,15.026399999999995
Bryan King,RP,HOU,29.0,,,,,165.35417,183.0,17.64582999999999,174.177085,176.5,-11.14582999999999
Anthony Banda,RP,LAD,32.0,,,,,129.884098,57.0,-72.884098,93.442049,175.5,-45.615902000000006
Garrett Cleavinger,RP,TBR,32.0,,,,,252.969815,262.0,9.030185000000015,257.4849075,175.5,77.46981499999998
Spencer Bivens,RP,SFG,32.0,,,,,157.24597,162.5,5.25403,159.872985,174.5,-17.25403
Luke Jackson,RP,FA,34.0,,,,,103.40298,106.0,2.597020000000001,104.70149,174.0,-70.59702
Steven Okert,RP,HOU,34.0,,,,,160.823312,165.0,4.176688000000013,162.911656,173.5,-12.676688000000013
John Schreiber,RP,KCR,32.0,,,,,144.96864999999997,150.0,5.031350000000032,147.48432499999998,171.5,-26.53135000000003
Ryan Yarbrough,SP/RP,NYY,34.0,,,,,139.85278000000002,118.0,-21.852780000000024,128.92639000000003,170.5,-30.647219999999976
Brad Keller,RP,PHI,30.0,,,,,210.355825,186.0,-24.35582500000001,198.1779125,170.5,39.85582500000001
Brendon Little,RP,TOR,29.0,,,,,127.530479,139.5,11.969521000000016,133.5152395,170.5,-42.969521000000015
Huascar Brazoban,RP,NYM,36.0,,,,,126.49979,133.5,7.00021000000001,129.99989499999998,168.5,-42.00021000000001
Jimmy Herget,RP,COL,32.0,,,,,175.566685,194.5,18.933314999999997,185.0333425,167.5,8.066685000000007
Graham Ashcraft,RP,CIN,28.0,,,,,168.13034500000003,181.0,12.869654999999966,174.56517250000002,167.5,0.6303450000000339
Bryan Baker,RP,TBR,31.0,,,,,169.229525,199.5,30.270475000000005,184.3647625,167.0,2.2295249999999958
Lucas Erceg,RP,KCR,31.0,WCS,aaa_opt,1.0,0.0,204.233125,159.0,-45.23312499999997,181.6165625,167.0,37.23312499999997
Ryan Thompson,RP,ARI,34.0,,,,,171.09644999999998,152.5,-18.596449999999976,161.798225,167.0,4.096449999999976
