name,pos_string,player_mlb_org,player_age,abbrev,contract_type,contract_years,contract_dollars,fp_atc,fp_alt,alt-atc,fp_avg,fp_e,atc-e
Shohei Ohtani,UTIL/SP,LAD,31.0,RW,contract,1.0,30.5,1019.99652,1083.17852,63.18200000000013,1051.58752,1207.0,-187.00348000000008
Tarik Skubal,SP,DET,29.0,CR,arb2,,0.0,600.87369,658.5,57.62630999999999,629.686845,671.0,-70.12630999999999
Garrett Crochet,SP,BOS,27.0,YB,pre_arb,1.0,1.0,549.30331,612.5,63.19668999999999,580.901655,642.5,-93.19669
Paul Skenes,SP,PIT,24.0,DET,pre_arb,1.0,1.0,559.327035,625.5,66.17296499999998,592.4135175,615.0,-55.67296499999998
Cristopher Sanchez,SP,PHI,29.0,CS,contract,1.0,1.5,495.43877,576.0,80.56123000000002,535.719385,568.5,-73.06123000000002
Logan Webb,SP,SFG,29.0,,,,,517.46431,553.0,35.535690000000045,535.2321549999999,545.0,-27.535690000000045
Framber Valdez,SP,FA,32.0,,,,,479.81234,494.5,14.68766000000005,487.15617,543.5,-63.68766000000005
Logan Gilbert,SP,SEA,29.0,CR,arb2,,0.0,462.843755,504.5,41.65624500000001,483.6718775,541.0,-78.15624500000001
Jesus Luzardo,SP,PHI,28.0,SF,contract,2.0,2.0,473.179155,514.0,40.82084500000002,493.5895775,532.0,-58.82084500000002
Max Fried,SP,NYY,32.0,,,,,488.68827,505.5,16.81173000000001,497.094135,522.5,-33.81173000000001
Yoshinobu Yamamoto,SP,LAD,27.0,CS,contract,3.0,1.0,467.87214,445.0,-22.872139999999945,456.43607,516.5,-48.627860000000055
Hunter Brown,SP,HOU,27.0,MJ,arb1,,0.0,493.47174500000006,515.5,22.028254999999945,504.4858725,511.5,-18.028254999999945
Freddy Peralta,SP,NYM,30.0,CS,arb3,,0.0,465.23043,461.5,-3.730430000000013,463.365215,501.5,-36.26956999999999
Kevin Gausman,SP,TOR,35.0,,,,,460.839255,460.0,-0.8392549999999801,460.4196275,501.0,-40.16074500000002
Bryan Woo,SP,SEA,26.0,DCT,contract,1.0,4.5,515.39571,573.5,58.10428999999999,544.447855,500.5,14.895710000000008
Zac Gallen,SP,FA,30.0,RW,contract,1.0,7.0,408.36905,469.0,60.630949999999984,438.684525,483.5,-75.13094999999998
Sonny Gray,SP,BOS,36.0,,,,,457.86711,485.0,27.13289000000003,471.433555,479.0,-21.13289000000003
Luis Castillo,SP,SEA,33.0,,,,,437.76785500000005,462.5,24.732144999999942,450.1339275,478.0,-40.232144999999946
Joe Ryan,SP,MIN,30.0,ORl,contract,1.0,5.5,467.82429,481.5,13.67570999999998,474.662145,473.5,-5.675709999999981
Chris Sale,SP,ATL,37.0,,,,,459.70275,513.5,53.79724999999996,486.601375,470.0,-10.297249999999964
Blake Snell,SP,LAD,33.0,,,,,401.618955,450.0,48.38104500000003,425.8094775,469.5,-67.88104500000003
George Kirby,SP,SEA,28.0,RW,arb1,,0.0,446.00172,498.0,51.99828000000002,472.00086,468.5,-22.498280000000022
Dylan Cease,SP,TOR,30.0,CR,arb3,,0.0,476.550975,533.0,56.449025000000006,504.7754875,467.0,9.550974999999994
Spencer Strider,SP,ATL,27.0,,,,,426.1197599999999,440.5,14.380240000000072,433.30988,461.0,-34.88024000000007
