name,pos_string,player_mlb_org,player_age,abbrev,contract_type,contract_years,contract_dollars,fp_atc,fp_alt,alt-atc,fp_avg,fp_e,atc-e
Bobby Witt Jr.,SS/UTIL,KCR,26.0,CR,arb1,,0.0,617.4611400000001,638.9069199999999,21.445779999999782,628.18403,672.0,-54.538859999999886
Elly De La Cruz,SS/UTIL,CIN,24.0,SF,pre_arb,1.0,1.0,568.33852,546.53846,-21.80006000000003,557.43849,630.0,-61.66147999999998
Francisco Lindor,SS/UTIL,NYM,32.0,,,,,559.7333,543.1243700000001,-16.608929999999873,551.428835,589.0,-29.26670000000001
Gunnar Henderson,SS/UTIL,BAL,25.0,CS,pre_arb,1.0,1.0,570.8386399999999,550.67084,-20.167799999999943,560.75474,589.0,-18.16136000000006
Trea Turner,SS/UTIL,PHI,33.0,,,,,510.37319,500.88048,-9.492709999999988,505.626835,540.0,-29.626809999999978
Zach Neto,SS/UTIL,LAA,25.0,SZ,pre_arb,1.0,1.0,521.64425,516.83155,-4.812700000000064,519.2379000000001,534.0,-12.355749999999944
Geraldo Perdomo,SS/UTIL,ARI,26.0,,,,,493.91916,456.01183,-37.907329999999945,474.965495,523.0,-29.080840000000023
Willy Adames,SS/UTIL,SFG,30.0,,,,,504.20881,512.5903,8.381489999999985,508.399555,521.0,-16.79119000000003
Mookie Betts,SS/UTIL,LAD,33.0,,,,,507.75676,486.90779,-20.84896999999995,497.332275,517.0,-9.243240000000014
CJ Abrams,SS/UTIL,WSN,25.0,CS,contract,7.0,1.0,465.39496,449.2702699999999,-16.124690000000044,457.3326149999999,505.0,-39.60504000000003
Dansby Swanson,SS/UTIL,CHC,32.0,,,,,469.55699,472.79884,3.2418499999999995,471.177915,490.0,-20.44301000000001
Jeremy Pena,SS/UTIL,HOU,28.0,DCT,arb2,,0.0,469.76461000000006,468.2408,-1.523810000000026,469.0027050000001,489.0,-19.23538999999994
Corey Seager,SS/UTIL,TEX,32.0,,,,,444.173902,455.689095,11.515193000000068,449.9314985,479.0,-34.82609800000006
Bo Bichette,SS/UTIL,NYM,28.0,MJ,contract,1.0,4.0,452.16796,444.5105,-7.657460000000015,448.33923,473.0,-20.832040000000006
Trevor Story,SS/UTIL,BOS,33.0,RW,aaa_opt,1.0,0.0,457.16801,459.79436,2.626350000000059,458.481185,473.0,-15.83199000000002
Ezequiel Tovar,SS/UTIL,COL,24.0,ORl,contract,3.0,1.05,451.65413,459.39889,7.744759999999985,455.52651,448.0,3.654130000000009
J.P. Crawford,SS/UTIL,SEA,31.0,CR,aaa_opt,1.0,0.0,382.659733,372.18656,-10.473172999999974,377.4231465,442.0,-59.34026700000004
Xander Bogaerts,SS/UTIL,SDP,33.0,,,,,405.78947,416.89876,11.109289999999987,411.344115,433.0,-27.21053000000001
Xavier Edwards,2B/SS/UTIL,MIA,26.0,BS,contract,2.0,1.0,400.11489000000006,381.31792,-18.796970000000044,390.716405,427.0,-26.88510999999994
Otto Lopez,2B/SS/UTIL,MIA,27.0,DCT,aaa_opt,1.0,0.0,390.6274,401.76283,11.135430000000042,396.195115,423.0,-32.372600000000034
Jacob Wilson,SS/UTIL,ATH,24.0,SF,aa,,0.0,399.77298,370.52114,-29.251840000000016,385.14706,414.0,-14.22702000000004
Masyn Winn,SS/UTIL,STL,24.0,SZ,aa,,0.0,410.09429000000006,393.28314,-16.811150000000055,401.688715,407.0,3.0942900000000577
Josh Smith,3B/1B/SS/UTIL,TEX,28.0,CS,aaa_opt,1.0,0.0,308.72966,299.4522,-9.27746000000002,304.09093,386.0,-77.27033999999998
Carlos Correa,3B/SS/UTIL,HOU,31.0,,,,,382.772519,369.38277,-13.389748999999997,376.0776445,384.0,-1.2274810000000116
Chase Meidroth,2B/SS/UTIL,CHW,24.0,,,,,338.87838,318.90938,-19.968999999999998,328.89388,377.0,-38.12162000000001
Joey Ortiz,SS/UTIL,MIL,27.0,,,,,352.98272,348.23978,-4.742939999999976,350.61125,376.0,-23.017280000000028
Colson Montgomery,SS/UTIL,CHW,24.0,CR,aa,,0.0,381.21474,378.02147,-3.193269999999984,379.618105,373.0,8.21473999999995
Ernie Clement,2B/3B/SS/UTIL,TOR,30.0,,,,,359.20489,349.49814,-9.70675,354.35151499999995,360.0,-0.7951100000000224
Anthony Volpe,SS/UTIL,NYY,25.0,SF,contract,6.0,2.5,332.33613,319.18654000000004,-13.14958999999999,325.76133500000003,358.0,-25.66386999999997
JJ Wetherholt,2B/SS/UTIL,,,SF,contract,8.0,1.0,327.1133,302.70507,-24.408230000000003,314.909185,354.0,-26.88670000000002
Brooks Lee,2B/3B/SS/UTIL,MIN,25.0,WCS,pre_arb,2.0,1.0,352.78399,331.64633,-21.13766000000004,342.21516,346.0,6.783990000000017
Jose Caballero,2B/3B/SS/OF/UTIL,NYY,29.0,DET,aaa_opt,1.0,0.0,285.104612,267.62623,-17.478381999999954,276.365421,324.0,-38.895388000000025
Zach McKinstry,3B/SS/OF/UTIL,DET,31.0,,,,,290.53391,289.72894,-0.8049699999999689,290.13142500000004,316.0,-25.46609000000001
Kevin McGonigle,SS/UTIL,,,CS,contract,9.0,1.0,245.38767,238.3936,-6.994070000000022,241.890635,303.0,-57.612330000000014
Gabriel Arias,2B/SS/UTIL,CLE,26.0,,,,,276.09059,274.23981,-1.850780000000043,275.1652,302.0,-25.90940999999998
Carson Williams,SS/UTIL,TBR,23.0,MJ,aa,,0.0,265.63956,256.22582,-9.413740000000018,260.93269,287.0,-21.360439999999983
Javier Baez,3B/SS/OF/UTIL,DET,33.0,CR,aaa_opt,1.0,0.0,194.61463,191.046814,-3.567816000000022,192.830722,282.0,-87.38537
Brayan Rocchio,2B/SS/UTIL,CLE,25.0,,,,,299.4002,289.07192,-10.328280000000008,294.23605999999995,270.0,29.400199999999984
Ha-Seong Kim,SS/UTIL,ATL,30.0,MJ,aaa_opt,1.0,0.0,222.69163000000003,224.57703,1.885399999999976,223.63433000000003,259.0,-36.30836999999997
Konnor Griffin,SS/UTIL,,,SF,aa,,0.0,267.61673,256.55345,-11.06328000000002,262.08509000000004,235.0,32.61673000000002
Taylor Walls,SS/UTIL,TBR,29.0,,,,,220.6008,220.85754,0.2567400000000077,220.72917,221.0,-0.3992000000000075
Thomas Saggese,2B/SS/UTIL,STL,24.0,,,,,208.08406,205.21274,-2.8713200000000256,206.6484,220.0,-11.915939999999978
Ryan Ritter,2B/SS/UTIL,COL,25.0,,,,,138.76557,132.04207,-6.723500000000001,135.40382,216.0,-77.23443
Vaughn Grissom,2B/SS/UTIL,,,,,,,201.61809,195.202231,-6.415858999999983,198.4101605,213.0,-11.381910000000005
Jared Triolo,3B/1B/SS/UTIL,PIT,28.0,,,,,345.35899,344.23834,-1.120650000000012,344.798665,207.0,138.35899
Mauricio Dubon,2B/3B/SS/OF/UTIL,ATL,31.0,,,,,208.5078,202.5992,-5.908600000000035,205.5535,197.0,11.507800000000003
Dylan Moore,2B/SS/OF/UTIL,PHI,33.0,,,,,78.32718,78.669065,0.3418850000000049,78.4981225,190.0,-111.67282
Ezequiel Duran,1B/SS/UTIL,TEX,27.0,,,,,179.014886,176.94693999999998,-2.0679460000000063,177.980913,186.0,-6.98511400000001
Nasim Nunez,2B/SS/UTIL,WSN,25.0,,,,,220.685138,209.09885000000003,-11.586287999999996,214.891994,185.0,35.68513800000002
Jose Iglesias,2B/3B/SS/UTIL,FA,36.0,,,,,105.915591,104.164563,-1.751027999999991,105.040077,169.0,-63.08440900000001
Orlando Arcia,2B/3B/SS/UTIL,FA,31.0,,,,,92.8928509,88.115408,-4.777442899999997,90.50412945,168.0,-75.1071491
Isiah Kiner-Falefa,3B/SS/UTIL,FA,31.0,ORl,aaa_opt,1.0,0.0,162.55358,158.48846500000002,-4.065114999999992,160.52102250000002,165.0,-2.446419999999989
Miguel Rojas,2B/3B/SS/UTIL,LAD,37.0,,,,,125.3122,120.165443,-5.146757000000008,122.7388215,159.0,-33.6878
Trey Sweeney,SS/UTIL,DET,26.0,DET,aaa_opt,1.0,0.0,58.846484,58.03652100000001,-0.8099629999999891,58.4415025,155.0,-96.153516
Darell Hernaiz,2B/3B/SS/UTIL,ATH,24.0,,,,,121.63216300000002,121.57233,-0.059833000000026,121.6022465,152.0,-30.36783699999998
Jett Williams,2B/SS/OF/UTIL,,,SZ,aa,,0.0,55.39939,53.175901,-2.2234889999999936,54.2876455,98.0,-42.60061
Jorge Mateo,SS/OF/UTIL,ATL,31.0,,,,,126.06282,123.33826,-2.7245599999999968,124.70054,93.0,33.06282
Denzer Guzman,SS/UTIL,LAA,22.0,,,,,21.6569298,21.5082055,-0.1487243000000013,21.58256765,88.0,-66.3430702
Max Schuemann,2B/3B/SS/UTIL,ATH,29.0,,,,,69.097086,69.229621,0.13253499999999,69.1633535,84.0,-14.902913999999996
Nick Allen,SS/UTIL,HOU,27.0,,,,,83.0325822,79.04479699999999,-3.9877852000000047,81.0386896,79.0,4.032582199999993
Aaron Schunk,2B/SS/UTIL,ATL,28.0,,,,,14.37459,14.490285,0.1156950000000005,14.4324375,73.0,-58.62541
Andruw Monasterio,SS/UTIL,MIL,29.0,,,,,117.153625,118.277069,1.1234440000000203,117.715347,63.0,54.15362499999999
Tim Anderson,2B/SS/UTIL,FA,33.0,,,,,26.6912188,27.90793920000001,1.216720400000007,27.299579000000005,61.0,-34.3087812
Kaelen Culpepper,SS/UTIL,,,,,,,,,,,,
Liover Peguero,1B/SS/UTIL,PHI,25.0,,,,,24.062338,23.464817,-0.5975210000000004,23.7635775,57.0,-32.937662
Luke Williams,SS/UTIL,ATL,29.0,,,,,24.836389000000004,21.095469,-3.7409200000000062,22.965929000000003,53.0,-28.163611
Aidan Miller,SS/UTIL,,,SF,aa,,0.0,38.5607527,37.308507000000006,-1.252245699999989,37.93462985,50.0,-11.439247300000003
Cameron Cauley,2B/SS/OF/UTIL,,,,,,,,,,,,
Colt Emerson,SS/UTIL,,,ORl,contract,10.0,1.0,184.64892,184.899917,0.2509970000000123,184.7744185,48.0,136.64891999999998
Payton Eeles,2B/SS/OF/UTIL,,,,,,,,,,,,
Maximo Acosta,2B/3B/SS/UTIL,MIA,23.0,,,,,57.22505999999999,56.92172200000001,-0.3033379999999823,57.073391,41.0,16.225059999999992
Ryan Fitzgerald,2B/SS/UTIL,LAD,32.0,,,,,0.0,7.2980693,0.0,0.0,39.0,-39.0
Braden Shewmake,SS/UTIL,,,,,,,,,,,,
Tristan Gray,2B/SS/UTIL,MIN,30.0,,,,,42.597895,40.35983,-2.238065000000006,41.4788625,39.0,3.597895000000001
Mason McCoy,SS/UTIL,SDP,31.0,,,,,44.20411,41.142932,-3.061177999999998,42.673521,37.0,7.20411
Richie Martin,3B/SS/UTIL,,,,,,,,,,,,
Cesar Prieto,2B/3B/SS/UTIL,STL,27.0,,,,,28.9520515,28.169283000000004,-0.782768499999996,28.56066725,36.0,-7.0479485
Luis Vazquez,3B/SS/UTIL,BAL,26.0,,,,,,,,,,
Jared Serna,2B/SS/UTIL,,,,,,,20.5848906,20.9340854,0.3491947999999993,20.759488,33.0,-12.4151094
Tanner Murray,2B/3B/SS/UTIL,,,,,,,44.0777468,44.11578599999999,0.0380391999999929,44.09676639999999,30.0,14.0777468
Tsung-Che Cheng,3B/SS/UTIL,BOS,24.0,,,,,10.4824313,11.9310086,1.4485773000000002,11.20671995,15.0,-4.5175687
Brandon Winokur,3B/SS/OF/UTIL,,,,,,,,,,,,
Felix Morrobel,2B/SS/UTIL,,,,,,,,,,,,
Kevin Made,2B/SS/UTIL,,,,,,,,,,,,
Kyle DeBarge,2B/SS/UTIL,,,,,,,,,,,,
Niko Goodrum,2B/SS/UTIL,,,,,,,,,,,,
Bobby Dalbec,1B/SS/UTIL,FA,31.0,,,,,,,,,,
Harold Castro,3B/SS/UTIL,,,,,,,,,,,,
Jack Lopez,3B/SS/UTIL,,,,,,,,,,,,
Diego Castillo,3B/SS/UTIL,,,,,,,,,,,,
Freddy Zamora,SS/UTIL,,,,,,,,,,,,
Aeverson Arteaga,SS/UTIL,,,,,,,,,,,,
Cristian Hernandez,SS/UTIL,,,,,,,,,,,,
Nick Ahmed,SS/UTIL,FA,36.0,,,,,,,,,,
Gavin Kilen,2B/SS/UTIL,,,,,,,,,,,,
Tate Southisene,2B/SS/UTIL,,,,,,,,,,,,
Griff O'Ferrall,2B/SS/UTIL,,,,,,,,,,,,
Fernando Cruz,2B/SS/UTIL,,,,,,,,,,,,
Yordys Valdes,2B/SS/UTIL,,,,,,,,,,,,
Livan Soto,2B/SS/UTIL,,,,,,,,,,,,
Jace Peterson,SS/UTIL,,,,,,,,,,,,
Yonny Hernandez,2B/SS/UTIL,,,,,,,,,,,,
Cal Conley,2B/SS/UTIL,,,,,,,,,,,,
Alan Trejo,SS/UTIL,FA,30.0,,,,,,,,,,
Wander Franco,SS/UTIL,,,YB,cut,6.0,2.55,,,,,,
Marek Houston,SS/UTIL,,,,,,,,,,,,
Aiva Arquette,SS/UTIL,,,,,,,,,,,,
Eli Willits,SS/UTIL,,,DET,aa,,0.0,,,,,,
Josuar De Jesus Gonzalez,SS/UTIL,,,SF,aa,,0.0,,,,,,
Austin Charles,3B/SS/UTIL,,,,,,,,,,,,
Dorian Soto,SS/UTIL,,,,,,,,,,,,
Ronny Cruz,SS/UTIL,,,,,,,,,,,,
Ethan Holliday,SS/UTIL,,,DCT,aa,,0.0,,,,,,
Dax Kilby,SS/UTIL,,,,,,,,,,,,
Rodolfo Castro,SS/UTIL,,,,,,,,,,,,
Starlyn Caba,SS/UTIL,,,,,,,,,,,,
Welbyn Francisca,SS/UTIL,,,,,,,,,,,,
Roderick Arias,SS/UTIL,,,WCS,aa,,0.0,,,,,,
Ed Howard,SS/UTIL,,,,,,,,,,,,
Luis Garcia,SS/UTIL,,,,,,,,,,,,
Drew Swift,SS/UTIL,,,,,,,,,,,,
Adrian Santana,SS/UTIL,,,,,,,,,,,,
Brandon Crawford,SS/UTIL,,,,,,,,,,,,
Aledmys Diaz,SS/UTIL,,,,,,,,,,,,
Eguy Rosario,SS/UTIL,,,,,,,,,,,,
Felnin Celesten,SS/UTIL,,,WCS,aa,,0.0,,,,,,
Daiber De Los Santos,SS/UTIL,,,,,,,,,,,,
Billy Carlson,SS/UTIL,,,,,,,,,,,,
Kayson Cunningham,SS/UTIL,,,,,,,,,,,,
Franklin Arias,SS/UTIL,,,,,,,,,,,,
Wehiwa Aloy,SS/UTIL,,,,,,,,,,,,
Jorge Quintana,SS/UTIL,,,,,,,,,,,,
Kellon Lindsey,SS/UTIL,,,,,,,,,,,,
Bryce Rainer,SS/UTIL,,,RW,aa,,0.0,,,,,,
Joswa Lugo,SS/UTIL,,,,,,,,,,,,
Edgar Montero,SS/UTIL,,,,,,,,,,,,
Jhonny Level,SS/UTIL,,,,,,,,,,,,
Angel Feliz,SS/UTIL,,,,,,,,,,,,
Ashly Andujar,SS/UTIL,,,,,,,,,,,,
Yandel Ricardo,SS/UTIL,,,,,,,,,,,,
Jose Perdomo,SS/UTIL,,,,,,,,,,,,
Emil Morales,SS/UTIL,,,DCT,aa,,0.0,,,,,,
Jeremy Rodriguez,2B/3B/SS/UTIL,,,,,,,,,,,,
Caleb Bonemer,3B/SS/UTIL,,,,,,,,,,,,
Emilio Sanchez,3B/SS/UTIL,,,,,,,,,,,,
Yolfran Castillo,3B/SS/UTIL,,,,,,,,,,,,
Joendry Vargas,3B/SS/UTIL,,,ORl,aa,,0.0,,,,,,
Levi Jordan,3B/SS/UTIL,,,,,,,,,,,,
Kevin Smith,SS/UTIL,,,,,,,,,,,,
Derniche Valdez,SS/OF/UTIL,,,,,,,,,,,,
Carson DeMartini,3B/SS/UTIL,,,,,,,,,,,,
Seaver King,SS/UTIL,,,,,,,,,,,,
Sergio Alcantara,SS/UTIL,,,,,,,,,,,,
Arjun Nimmala,SS/UTIL,,,,,,,,,,,,
Cooper Pratt,SS/UTIL,,,MJ,aa,,0.0,,,,,,
Jackson Cluff,SS/UTIL,,,,,,,0.0,1.0,0.0,0.0,0.0,0.0
George Lombard Jr.,SS/UTIL,,,,,,,,,,,,
Zack Short,SS/UTIL,NYY,31.0,,,,,,,,,,
Jacob Amaya,SS/UTIL,ARI,27.0,,,,,,,,,,
Jonathan Ornelas,SS/UTIL,NYY,26.0,,,,,,,,,,
Luke Waddell,2B/SS/UTIL,,,,,,,,,,,,
Gage Workman,3B/SS/UTIL,CHW,26.0,,,,,,,,,,
Davis Wendzel,SS/UTIL,,,,,,,0.0,7.4884865,0.0,0.0,0.0,0.0
Eduardo Garcia,SS/OF/UTIL,,,,,,,,,,,,
Tyler McDonough,SS/OF/UTIL,,,,,,,,,,,,
Chad Stevens,2B/3B/SS/UTIL,COL,27.0,,,,,,,,,,
Osleivis Basabe,2B/3B/SS/UTIL,,,,,,,,,,,,
Filippo Di Turi,2B/3B/SS/UTIL,,,,,,,,,,,,
Colin Houck,3B/SS/UTIL,,,,,,,,,,,,
Angel Genao,SS/UTIL,,,MJ,aa,,0.0,,,,,,
Sebastian Walcott,SS/UTIL,,,CS,aa,,0.0,53.369572,53.423375,0.053803000000002,53.3964735,0.0,53.369572
Alika Williams,2B/3B/SS/UTIL,,,,,,,29.219742000000004,29.403612,0.1838699999999953,29.311677000000003,0.0,29.219742000000004
Edwin Arroyo,SS/UTIL,,,SF,aa,,0.0,,,,,,
Leo De Vries,SS/UTIL,,,WCS,aa,,0.0,24.828815100000003,26.591937,1.7631218999999945,25.71037605,0.0,24.828815100000003
Vinny Capra,3B/SS/UTIL,BOS,29.0,,,,,0.0,6.9627433000000005,0.0,0.0,0.0,0.0
Milan Tolentino,2B/3B/SS/UTIL,,,,,,,,,,,,
Jacob Gonzalez,2B/SS/UTIL,,,RW,aa,,0.0,,,,,,
Euribiel Angeles,2B/3B/SS/UTIL,,,,,,,,,,,,
Mikey Romero,2B/3B/SS/UTIL,,,,,,,,,,,,
Jesus Made,SS/UTIL,,,WCS,contract,12.0,1.0,,,,,,
Yolmer Sanchez,2B/SS/UTIL,,,,,,,0.0,1.745512,0.0,0.0,0.0,0.0
Donovan Walton,2B/SS/UTIL,LAA,32.0,,,,,,,,,,
Clay Dungan,2B/SS/OF/UTIL,,,,,,,,,,,,
