name,pos_string,player_mlb_org,player_age,abbrev,contract_type,contract_years,contract_dollars,fp_atc,fp_alt,alt-atc,fp_avg,fp_e,atc-e
Shohei Ohtani,UTIL/SP,LAD,31.0,RW,contract,1.0,30.5,1019.99652,1083.17852,63.18200000000013,1051.58752,1207.0,-187.00348000000008
Kyle Schwarber,UTIL,PHI,33.0,,,,,588.4025300000001,586.6355080000001,-1.7670219999999972,587.5190190000001,652.0,-63.59746999999993
Christian Yelich,UTIL,MIL,34.0,,,,,464.5345,456.7694100000001,-7.765089999999986,460.651955,543.0,-78.46549999999996
Marcell Ozuna,UTIL,FA,35.0,,,,,350.68046580000004,346.78173889100003,-3.898726909000004,348.73110234550006,445.0,-94.31953419999996
Ivan Herrera,UTIL,STL,26.0,BS,aaa_opt,1.0,0.0,409.456487,406.554875,-2.901612,408.005681,420.0,-10.543512999999962
Moises Ballesteros,UTIL,CHC,22.0,,,,,241.554273,229.25239,-12.301883000000032,235.4033315,257.0,-15.445726999999977
Joc Pederson,UTIL,TEX,34.0,,,,,298.81323,301.716308,2.9030779999999936,300.264769,255.0,43.813229999999976
Masataka Yoshida,UTIL,BOS,32.0,,,,,150.956781,146.747363,-4.209417999999999,148.85207200000002,247.0,-96.043219
Bryce Eldridge,UTIL,SFG,21.0,WCS,aa,,0.0,286.667209,303.63673600000004,16.969527000000085,295.1519725,245.0,41.66720899999996
Andrew McCutchen,UTIL,FA,39.0,,,,,209.691004,219.164171,9.47316699999999,214.4275875,198.0,11.69100400000002
Jesse Winker,UTIL,FA,32.0,,,,,199.21334,197.557339,-1.6560010000000034,198.3853395,172.0,27.213339999999988
Starling Marte,UTIL,FA,37.0,,,,,171.48544200000003,174.634753,3.1493109999999547,173.0600975,162.0,9.485442000000036
David Fry,UTIL,CLE,30.0,,,,,151.13463700000003,148.885691,-2.248946000000018,150.01016400000003,143.0,8.134637000000026
Luis Campusano,UTIL,SDP,27.0,,,,,182.521376,164.845956,-17.675420000000003,173.68366600000002,128.0,54.521376
Adrian Del Castillo,UTIL,ARI,26.0,,,,,172.764663,168.261006,-4.503657000000004,170.5128345,105.0,67.76466300000001
Kris Bryant,UTIL,COL,34.0,,,,,57.83473119999999,60.791753,2.957021800000007,59.3132421,83.0,-25.165268800000007
Yuli Gurriel,UTIL,FA,42.0,,,,,,,,,,
Nick Maton,UTIL,CHW,29.0,,,,,,,,,,
Jared Young,UTIL,NYM,30.0,,,,,22.7999003,21.5543597,-1.245540600000005,22.17713,33.0,-10.2000997
Willie Calhoun,UTIL,,,,,,,,,,,,
Jackson Miller,UTIL,,,,,,,,,,,,
Harold Ramirez,UTIL,,,,,,,,,,,,
Daniel Vogelbach,UTIL,,,,,,,,,,,,
J.D. Martinez,UTIL,,,,,,,,,,,,
Matt Carpenter,UTIL,,,,,,,,,,,,
Gavin Fien,UTIL,,,,,,,,,,,,
Trenton Brooks,UTIL,FA,30.0,,,,,,,,,,
Luken Baker,UTIL,ARI,29.0,,,,,0.0,7.54655968,0.0,0.0,0.0,0.0
Xavier Isaac,UTIL,,,RW,aa,,0.0,,,,,,
